Feeder,WithFood,EppendorfOnly,Diff,ScaledFeed,Type,Accuracy,deviation,category
Person1,1185,1113,72,36.0,Person,Person,0.08615487763995973,Multiple People
Person1,1213,1121,92,46.0,Person,Person,0.3878645658732819,Multiple People
Person1,1191,1119,72,36.0,Person,Person,0.08615487763995973,Multiple People
Person1,1190,1123,67,33.5,Person,Person,0.010727455581629193,Multiple People
Person1,1197,1119,78,39.0,Person,Person,0.17666778410995637,Multiple People
Person1,1208,1130,78,39.0,Person,Person,0.17666778410995637,Multiple People
Person1,1185,1113,72,36.0,Person,Person,0.08615487763995973,Multiple People
Person1,1206,1136,70,35.0,Person,Person,0.055983908816627515,Multiple People
Person1,1195,1116,79,39.5,Person,Person,0.19175326852162247,Multiple People
Person2,1166,1120,46,23.0,Person,Person,-0.30606771706335906,Multiple People
Person2,1184,1119,65,32.5,Person,Person,-0.01944351324170302,Multiple People
Person2,1177,1126,51,25.5,Person,Person,-0.23064029500502853,Multiple People
Person2,1183,1120,63,31.5,Person,Person,-0.049614482065035236,Multiple People
Person2,1180,1116,64,32.0,Person,Person,-0.03452899765336913,Multiple People
Person2,1173,1109,64,32.0,Person,Person,-0.03452899765336913,Multiple People
Person2,1193,1124,69,34.5,Person,Person,0.04089842440496141,Multiple People
Person2,1178,1125,53,26.5,Person,Person,-0.2004693261816963,Multiple People
Person2,1162,1119,43,21.5,Person,Person,-0.3513241702983574,Multiple People
Person3,1203,1127,76,38.0,Person,Person,0.14649681528662417,Multiple People
Person3,1184,1118,66,33.0,Person,Person,-0.004358028830036913,Multiple People
Person3,1176,1108,68,34.0,Person,Person,0.0258129399932953,Multiple People
Person3,1184,1127,57,28.5,Person,Person,-0.14012738853503187,Multiple People
Person3,1175,1112,63,31.5,Person,Person,-0.049614482065035236,Multiple People
Person3,1176,1119,57,28.5,Person,Person,-0.14012738853503187,Multiple People
Person3,1197,1127,70,35.0,Person,Person,0.055983908816627515,Multiple People
Person3,1176,1117,59,29.5,Person,Person,-0.10995641971169967,Multiple People
Person3,1173,1118,55,27.5,Person,Person,-0.1702983573583641,Multiple People
Person4,1184,1119,65,32.5,Person,Person,-0.01944351324170302,Multiple People
