date,feeder,fish,number_feedings,delta,lifespan,planned_feeding,deviation
2019-08-31,4e835b00,L1-1,3,567.0,L1,3,0
2019-09-01,4e835b00,L1-1,3,552.0,L1,3,0
2019-09-02,4e835b00,L1-1,3,532.0,L1,3,0
2019-09-03,4e835b00,L1-1,3,543.0,L1,3,0
2019-09-04,4e835b00,L1-1,3,534.0,L1,3,0
2019-09-05,4e835b00,L1-1,3,525.0,L1,3,0
2019-09-06,4e835b00,L1-1,3,542.0,L1,3,0
2019-09-07,4e835b00,L1-1,3,543.0,L1,3,0
2019-09-08,4e835b00,L1-1,3,536.0,L1,3,0
2019-09-09,4e835b00,L1-1,3,534.0,L1,3,0
2019-09-10,4e835b00,L1-1,3,545.0,L1,3,0
2019-09-11,4e835b00,L1-1,3,555.0,L1,3,0
2019-09-12,4e835b00,L1-1,3,542.0,L1,3,0
2019-09-13,4e835b00,L1-1,3,551.0,L1,3,0
2019-09-14,4e835b00,L1-1,3,566.0,L1,3,0
2019-09-15,4e835b00,L1-1,3,566.0,L1,3,0
2019-09-16,4e835b00,L1-1,3,552.0,L1,3,0
2019-09-17,4e835b00,L1-1,3,581.0,L1,3,0
2019-09-18,4e835b00,L1-1,3,584.0,L1,3,0
2019-09-19,4e835b00,L1-1,3,586.0,L1,3,0
2019-09-20,4e835b00,L1-1,3,572.0,L1,3,0
2019-09-21,4e835b00,L1-1,3,586.0,L1,3,0
2019-09-22,4e835b00,L1-1,3,571.0,L1,3,0
2019-09-23,4e835b00,L1-1,3,561.0,L1,3,0
2019-09-24,4e835b00,L1-1,3,572.0,L1,3,0
2019-09-25,4e835b00,L1-1,3,580.0,L1,3,0
2019-09-26,4e835b00,L1-1,3,577.0,L1,3,0
2019-09-27,4e835b00,L1-1,3,557.0,L1,3,0
2019-09-30,4e835b00,L1-1,3,569.0,L1,3,0
2019-10-01,4e835b00,L1-1,3,563.0,L1,3,0
2019-10-02,4e835b00,L1-1,3,590.0,L1,3,0
2019-10-03,4e835b00,L1-1,3,424.0,L1,3,0
2019-10-04,4e835b00,L1-1,3,306.0,L1,3,0
2019-10-05,4e835b00,L1-1,3,254.0,L1,3,0
2019-10-06,4e835b00,L1-1,3,278.0,L1,3,0
2019-10-07,4e835b00,L1-1,3,298.0,L1,3,0
2019-10-08,4e835b00,L1-1,3,274.0,L1,3,0
2019-10-09,4e835b00,L1-1,3,566.0,L1,3,0
2019-10-10,4e835b00,L1-1,3,556.0,L1,3,0
2019-10-11,4e835b00,L1-1,3,295.0,L1,3,0
2019-10-12,4e835b00,L1-1,3,585.0,L1,3,0
2019-10-13,4e835b00,L1-1,3,548.0,L1,3,0
2019-10-14,4e835b00,L1-1,3,427.0,L1,3,0
2019-10-15,4e835b00,L1-1,3,281.0,L1,3,0
2019-10-16,4e835b00,L1-1,3,277.0,L1,3,0
2019-10-17,4e835b00,L1-1,3,274.0,L1,3,0
2019-10-18,4e835b00,L1-1,3,329.0,L1,3,0
2019-10-19,4e835b00,L1-1,3,280.0,L1,3,0
2019-10-20,4e835b00,L1-1,3,192.0,L1,3,0
2019-10-21,4e835b00,L1-1,3,75.0,L1,3,0
2019-10-24,4e835b00,L1-1,3,556.0,L1,3,0
2019-10-25,4e835b00,L1-1,3,359.0,L1,3,0
2019-10-26,4e835b00,L1-1,3,502.0,L1,3,0
2019-10-27,4e835b00,L1-1,3,535.0,L1,3,0
2019-10-28,4e835b00,L1-1,3,537.0,L1,3,0
2019-10-29,4e835b00,L1-1,3,549.0,L1,3,0
2019-10-30,4e835b00,L1-1,3,548.0,L1,3,0
2019-10-31,4e835b00,L1-1,3,563.0,L1,3,0
2019-11-01,4e835b00,L1-1,3,541.0,L1,3,0
2019-11-02,4e835b00,L1-1,3,540.0,L1,3,0
2019-11-03,4e835b00,L1-1,3,546.0,L1,3,0
2019-11-04,4e835b00,L1-1,3,516.0,L1,3,0
2019-11-05,4e835b00,L1-1,3,543.0,L1,3,0
2019-11-06,4e835b00,L1-1,3,533.0,L1,3,0
2019-11-07,4e835b00,L1-1,3,512.0,L1,3,0
2019-11-08,4e835b00,L1-1,3,519.0,L1,3,0
2019-11-09,4e835b00,L1-1,3,523.0,L1,3,0
2019-11-10,4e835b00,L1-1,3,513.0,L1,3,0
2019-11-11,4e835b00,L1-1,3,526.0,L1,3,0
2019-11-12,4e835b00,L1-1,3,523.0,L1,3,0
2019-11-13,4e835b00,L1-1,3,526.0,L1,3,0
2019-11-14,4e835b00,L1-1,3,527.0,L1,3,0
2019-11-15,4e835b00,L1-1,3,483.0,L1,3,0
2019-11-16,4e835b00,L1-1,3,485.0,L1,3,0
2019-11-17,4e835b00,L1-1,3,495.0,L1,3,0
2019-11-18,4e835b00,L1-1,3,517.0,L1,3,0
2019-11-19,4e835b00,L1-1,3,502.0,L1,3,0
2019-11-20,4e835b00,L1-1,3,526.0,L1,3,0
2019-11-21,4e835b00,L1-1,3,502.0,L1,3,0
2019-11-22,4e835b00,L1-1,3,533.0,L1,3,0
2019-11-23,4e835b00,L1-1,3,530.0,L1,3,0
2019-11-24,4e835b00,L1-1,3,537.0,L1,3,0
2019-11-25,4e835b00,L1-1,3,536.0,L1,3,0
2019-11-26,4e835b00,L1-1,3,534.0,L1,3,0
2019-11-27,4e835b00,L1-1,3,544.0,L1,3,0
2019-11-28,4e835b00,L1-1,3,532.0,L1,3,0
2019-11-29,4e835b00,L1-1,3,536.0,L1,3,0
2019-11-30,4e835b00,L1-1,3,522.0,L1,3,0
2019-12-01,4e835b00,L1-1,3,539.0,L1,3,0
2019-12-02,4e835b00,L1-1,3,543.0,L1,3,0
2019-12-03,4e835b00,L1-1,3,512.0,L1,3,0
2019-12-04,4e835b00,L1-1,3,517.0,L1,3,0
2019-12-05,4e835b00,L1-1,3,528.0,L1,3,0
2019-12-06,4e835b00,L1-1,3,526.0,L1,3,0
2019-12-07,4e835b00,L1-1,3,483.0,L1,3,0
2019-12-08,4e835b00,L1-1,3,542.0,L1,3,0
2019-12-09,4e835b00,L1-1,3,486.0,L1,3,0
2019-12-10,4e835b00,L1-1,3,499.0,L1,3,0
2019-12-11,4e835b00,L1-1,3,522.0,L1,3,0
2019-12-12,4e835b00,L1-1,3,523.0,L1,3,0
2019-12-13,4e835b00,L1-1,3,501.0,L1,3,0
2019-12-14,4e835b00,L1-1,3,549.0,L1,3,0
2019-12-15,4e835b00,L1-1,3,518.0,L1,3,0
2019-12-16,4e835b00,L1-1,3,537.0,L1,3,0
2019-12-17,4e835b00,L1-1,3,534.0,L1,3,0
2019-12-18,4e835b00,L1-1,3,510.0,L1,3,0
2019-12-19,4e835b00,L1-1,3,505.0,L1,3,0
2019-12-20,4e835b00,L1-1,3,517.0,L1,3,0
2019-12-21,4e835b00,L1-1,3,490.0,L1,3,0
2019-12-22,4e835b00,L1-1,3,517.0,L1,3,0
2019-12-23,4e835b00,L1-1,3,562.0,L1,3,0
2019-12-24,4e835b00,L1-1,3,558.0,L1,3,0
2019-12-25,4e835b00,L1-1,3,527.0,L1,3,0
2019-12-26,4e835b00,L1-1,3,546.0,L1,3,0
2019-12-27,4e835b00,L1-1,3,533.0,L1,3,0
2019-12-28,4e835b00,L1-1,3,537.0,L1,3,0
2019-12-29,4e835b00,L1-1,3,506.0,L1,3,0
2019-12-30,4e835b00,L1-1,3,521.0,L1,3,0
2019-12-31,4e835b00,L1-1,3,539.0,L1,3,0
2020-01-01,4e835b00,L1-1,3,513.0,L1,3,0
2020-01-02,4e835b00,L1-1,3,523.0,L1,3,0
