Pair,Crossed,Uncrossed,TotalEmbryosHarvested,LiveEmbryosHarvestedDay0,LiveEmbryosHarvestedDay2,Number,Sex,HatchDate,FeedingScheme,Feeder
1,6/29/20,6/30/20,4,3,3,915,f,5/25/20,7times,426a4700
2,6/29/20,6/30/20,22,7,5,916,f,5/25/20,7times,caf18900
3,6/29/20,6/30/20,5,0,0,917,f,5/25/20,DR,3f634700
4,6/29/20,6/30/20,23,15,10,918,f,5/25/20,DR,cd634700
5,6/29/20,6/30/20,1,0,0,919,f,5/25/20,DR,59624700
6,6/29/20,6/30/20,3,0,0,920,f,5/25/20,DR,fd911d00
7,6/29/20,6/30/20,6,4,3,911,f,5/25/20,7times,61674700
8,6/29/20,6/30/20,0,0,0,912,f,5/25/20,7times,56644700
9,6/29/20,6/30/20,6,6,3,913,f,5/25/20,7times,ea694700
10,6/29/20,6/30/20,0,0,0,914,f,5/25/20,DR,3e654700
1,7/6/20,7/7/20,4,0,0,915,f,5/25/20,7times,426a4700
2,7/6/20,7/7/20,14,12,11,916,f,5/25/20,7times,caf18900
3,7/6/20,7/7/20,7,7,4,917,f,5/25/20,DR,3f634700
4,7/6/20,7/7/20,11,5,0,918,f,5/25/20,DR,cd634700
5,7/6/20,7/7/20,0,0,0,919,f,5/25/20,DR,59624700
6,7/6/20,7/7/20,4,0,0,920,f,5/25/20,DR,fd911d00
7,7/6/20,7/7/20,3,2,1,911,f,5/25/20,7times,61674700
8,7/6/20,7/7/20,8,5,1,912,f,5/25/20,7times,56644700
9,7/6/20,7/7/20,24,13,12,913,f,5/25/20,7times,ea694700
10,7/6/20,7/7/20,1,1,1,914,f,5/25/20,DR,3e654700
1,7/14/20,7/15/20,6,3,2,915,f,5/25/20,7times,426a4700
2,7/14/20,7/15/20,15,4,4,916,f,5/25/20,7times,caf18900
3,7/14/20,7/15/20,12,5,3,917,f,5/25/20,DR,3f634700
4,7/14/20,7/15/20,6,3,2,918,f,5/25/20,DR,cd634700
5,7/14/20,7/15/20,1,0,0,919,f,5/25/20,DR,59624700
6,7/14/20,7/15/20,4,2,1,920,f,5/25/20,DR,fd911d00
7,7/14/20,7/15/20,0,0,0,911,f,5/25/20,7times,61674700
8,7/14/20,7/15/20,0,0,0,912,f,5/25/20,7times,56644700
9,7/14/20,7/15/20,20,14,9,913,f,5/25/20,7times,ea694700
10,7/14/20,7/15/20,1,1,0,914,f,5/25/20,DR,3e654700
1,7/20/20,7/21/20,13,4,4,915,f,5/25/20,7times,426a4700
2,7/20/20,7/21/20,27,6,6,916,f,5/25/20,7times,caf18900
3,7/20/20,7/21/20,3,1,1,917,f,5/25/20,DR,3f634700
4,7/20/20,7/21/20,5,1,1,918,f,5/25/20,DR,cd634700
5,7/20/20,7/21/20,1,1,1,919,f,5/25/20,DR,59624700
6,7/20/20,7/21/20,2,0,0,920,f,5/25/20,DR,fd911d00
7,7/20/20,7/21/20,8,2,2,911,f,5/25/20,7times,61674700
8,7/20/20,7/21/20,4,2,0,912,f,5/25/20,7times,56644700
9,7/20/20,7/21/20,43,35,31,913,f,5/25/20,7times,ea694700
10,7/20/20,7/21/20,4,2,1,914,f,5/25/20,DR,3e654700
1,7/27/20,7/28/20,11,2,2,915,f,5/25/20,7times,426a4700
2,7/27/20,7/28/20,32,11,10,916,f,5/25/20,7times,caf18900
3,7/27/20,7/28/20,7,3,2,917,f,5/25/20,DR,3f634700
4,7/27/20,7/28/20,9,5,5,918,f,5/25/20,DR,cd634700
5,7/27/20,7/28/20,0,0,0,919,f,5/25/20,DR,59624700
6,7/27/20,7/28/20,0,0,0,920,f,5/25/20,DR,fd911d00
7,7/27/20,7/28/20,0,0,0,911,f,5/25/20,7times,61674700
8,7/27/20,7/28/20,7,2,1,912,f,5/25/20,7times,56644700
9,7/27/20,7/28/20,44,35,33,913,f,5/25/20,7times,ea694700
10,7/27/20,7/28/20,0,0,0,914,f,5/25/20,DR,3e654700
1,8/3/20,8/4/20,20,3,3,915,f,5/25/20,7times,426a4700
2,8/3/20,8/4/20,36,16,16,916,f,5/25/20,7times,caf18900
3,8/3/20,8/4/20,9,6,6,917,f,5/25/20,DR,3f634700
4,8/3/20,8/4/20,4,0,0,918,f,5/25/20,DR,cd634700
5,8/3/20,8/4/20,0,0,0,919,f,5/25/20,DR,59624700
6,8/3/20,8/4/20,3,1,1,920,f,5/25/20,DR,fd911d00
7,8/3/20,8/4/20,10,9,9,911,f,5/25/20,7times,61674700
8,8/3/20,8/4/20,19,8,8,912,f,5/25/20,7times,56644700
9,8/3/20,8/4/20,51,47,47,913,f,5/25/20,7times,ea694700
10,8/3/20,8/4/20,3,1,1,914,f,5/25/20,DR,3e654700
