Pair,Crossed,Uncrossed,TotalEmbryosHarvested,LiveEmbryosHarvestedDay0,LiveEmbryosHarvestedDay1,LiveEmbryosHarvestedDay2,Number,Sex,HatchDate,FeedingScheme,Feeder,DOI,Observed,Remove
2,7/22/19,7/23/19,3,1,0,0,424,f,5/23/19,7times/AL,36684700,7/30/19,1,
3,7/22/19,7/23/19,32,26,22,18,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,7/22/19,7/23/19,5,1,0,0,426,f,5/23/19,manual,manual,9/23/19,1,
5,7/22/19,7/23/19,3,0,0,0,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,7/22/19,7/23/19,14,5,4,4,428,f,5/23/19,manual,manual,9/21/19,1,
7,7/22/19,7/23/19,12,5,5,5,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
8,7/22/19,7/23/19,15,6,2,1,430,f,5/23/19,12times/OF,958b1d00,9/3/19,1,
9,7/22/19,7/23/19,1,0,0,0,431,f,5/23/19,manual,manual,9/26/19,1,
10,7/22/19,7/23/19,2,1,0,0,432,f,5/23/19,manual,manual,10/5/19,1,
11,7/22/19,7/23/19,1,0,0,0,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
2,7/29/19,7/30/19,4,3,3,3,424,f,5/23/19,7times/AL,36684700,7/30/19,1,
3,7/29/19,7/30/19,4,2,0,0,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,7/29/19,7/30/19,9,7,4,4,426,f,5/23/19,manual,manual,9/23/19,1,
5,7/29/19,7/30/19,11,5,5,5,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,7/29/19,7/30/19,5,2,2,2,428,f,5/23/19,manual,manual,9/21/19,1,
7,7/29/19,7/30/19,19,7,7,6,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
8,7/29/19,7/30/19,12,1,1,1,430,f,5/23/19,12times/OF,958b1d00,9/3/19,1,
9,7/29/19,7/30/19,9,3,3,3,431,f,5/23/19,manual,manual,9/26/19,1,
10,7/29/19,7/30/19,13,3,2,2,432,f,5/23/19,manual,manual,10/5/19,1,
11,7/29/19,7/30/19,10,5,4,4,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,8/5/19,8/6/19,45,25,13,11,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,8/5/19,8/6/19,4,2,1,1,426,f,5/23/19,manual,manual,9/23/19,1,
5,8/5/19,8/6/19,24,11,6,6,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,8/5/19,8/6/19,15,6,4,2,428,f,5/23/19,manual,manual,9/21/19,1,
7,8/5/19,8/6/19,64,51,36,29,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
8,8/5/19,8/6/19,1,0,0,0,430,f,5/23/19,12times/OF,958b1d00,9/3/19,1,
9,8/5/19,8/6/19,8,2,1,1,431,f,5/23/19,manual,manual,9/26/19,1,
10,8/5/19,8/6/19,12,10,8,8,432,f,5/23/19,manual,manual,10/5/19,1,
11,8/5/19,8/6/19,0,0,0,0,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,8/12/19,8/13/19,35,13,0,0,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,8/12/19,8/13/19,8,8,7,7,426,f,5/23/19,manual,manual,9/23/19,1,
5,8/12/19,8/13/19,0,0,0,0,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,8/12/19,8/13/19,8,6,0,0,428,f,5/23/19,manual,manual,9/21/19,1,
7,8/12/19,8/13/19,68,45,33,24,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
8,8/12/19,8/13/19,27,4,0,0,430,f,5/23/19,12times/OF,958b1d00,9/3/19,1,
9,8/12/19,8/13/19,6,4,3,3,431,f,5/23/19,manual,manual,9/26/19,1,
10,8/12/19,8/13/19,9,3,3,3,432,f,5/23/19,manual,manual,10/5/19,1,
11,8/12/19,8/13/19,22,5,0,0,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,8/19/19,8/20/19,48,21,7,6,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,8/19/19,8/20/19,11,8,7,5,426,f,5/23/19,manual,manual,9/23/19,1,
5,8/19/19,8/20/19,16,14,10,8,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,8/19/19,8/20/19,4,2,0,0,428,f,5/23/19,manual,manual,9/21/19,1,
7,8/19/19,8/20/19,11,4,4,4,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
8,8/19/19,8/20/19,44,13,3,2,430,f,5/23/19,12times/OF,958b1d00,9/3/19,1,
9,8/19/19,8/20/19,12,4,1,1,431,f,5/23/19,manual,manual,9/26/19,1,
10,8/19/19,8/20/19,11,6,6,6,432,f,5/23/19,manual,manual,10/5/19,1,
11,8/19/19,8/20/19,8,0,0,0,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,8/26/19,8/27/19,19,11,8,4,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,8/26/19,8/27/19,3,2,2,1,426,f,5/23/19,manual,manual,9/23/19,1,
5,8/26/19,8/27/19,16,6,5,5,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,8/26/19,8/27/19,4,2,1,1,428,f,5/23/19,manual,manual,9/21/19,1,
7,8/26/19,8/27/19,14,8,5,5,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
8,8/26/19,8/27/19,52,7,0,0,430,f,5/23/19,12times/OF,958b1d00,9/3/19,1,
9,8/26/19,8/27/19,18,7,5,5,431,f,5/23/19,manual,manual,9/26/19,1,
10,8/26/19,8/27/19,3,0,0,0,432,f,5/23/19,manual,manual,10/5/19,1,
11,8/26/19,8/27/19,44,15,9,4,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,9/2/19,9/3/19,47,24,21,16,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,9/2/19,9/3/19,2,2,1,1,426,f,5/23/19,manual,manual,9/23/19,1,
5,9/2/19,9/3/19,13,7,3,2,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,9/2/19,9/3/19,8,3,0,0,428,f,5/23/19,manual,manual,9/21/19,1,
7,9/2/19,9/3/19,36,20,14,12,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
9,9/2/19,9/3/19,0,0,0,0,431,f,5/23/19,manual,manual,9/26/19,1,
10,9/2/19,9/3/19,0,0,0,0,432,f,5/23/19,manual,manual,10/5/19,1,
11,9/2/19,9/3/19,1,0,0,0,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,9/9/19,9/10/19,41,14,9,9,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,9/9/19,9/10/19,27,23,19,19,426,f,5/23/19,manual,manual,9/23/19,1,
5,9/9/19,9/10/19,61,51,26,26,427,f,5/23/19,12times/OF,818f1d00,9/16/19,1,
6,9/9/19,9/10/19,8,8,6,6,428,f,5/23/19,manual,manual,9/21/19,1,
