Number,Strain,CollectDate,TransferDate,HatchDate,EnteringDate,Coloration,BodyLength_pixel,ratio_pixels2mm,BodyLength_mm,Fixed_BodyLength_mm,DeathDate,Lifespan_days,BodyLength_cm,Observed,FeedingScheme,feedplusscheme,Sex,GrowthRate
1,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,442.47,12.62,35.07,31.563,7/11/18,103,6.39,1,1hr,1hr,male,0.4342718446601942
2,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,429.61,12.62,34.05,30.645,6/27/18,89,5.85,1,1hr,1hr,male,0.4601123595505618
3,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,467.17,12.62,37.03,33.327,5/26/18,57,5.4,1,1hr,1hr,,0.6631578947368422
4,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,443.42,12.62,35.15,31.635,8/25/18,148,6.39,1,1hr,1hr,male,0.3022297297297297
5,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,495.46,12.62,39.27,35.343,9/16/18,170,6.75,1,1hr,1hr,male,0.27794117647058825
7,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,454.37,12.62,36.02,32.418,7/12/18,104,6.48,1,1hr,1hr,,0.4361538461538462
8,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,473.1,12.62,37.5,33.75,6/30/18,92,6.57,1,1hr,1hr,male,0.4998913043478261
9,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,478.59,12.62,37.94,34.146,6/2/18,64,5.49,1,1hr,1hr,male,0.60046875
10,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,465.86,12.62,36.93,33.237,8/2/18,125,6.21,1,1hr,1hr,,0.34776
11,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,431.01,12.62,34.17,30.753,8/9/18,132,5.58,1,1hr,1hr,male,0.2959090909090909
12,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,465.7,12.62,36.92,33.228,7/26/18,118,6.21,1,1hr,1hr,,0.3683898305084746
13,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,472.13,12.62,37.43,33.687,8/10/18,133,6.21,1,1hr,1hr,male,0.3268421052631579
14,GRZ,3/2/18,3/16/18,3/30/18,4/26/18,Yes,471.4,12.62,37.37,33.633,7/19/18,111,6.93,1,1hr,1hr,male,0.437027027027027
15,GRZ,4/5/18,4/19/18,5/4/18,6/4/18,Yes,538.46,12.65,42.57,38.313,7/16/18,73,6.12,1,1hr,1hr,male,0.5868493150684932
16,GRZ,4/5/18,4/19/18,5/4/18,6/4/18,Yes,495.63,12.65,39.19,35.271,10/3/18,152,7.29,1,1hr,1hr,male,0.33572368421052634
17,GRZ,4/5/18,4/19/18,5/4/18,6/4/18,Yes,505.4,12.65,39.96,35.964,7/27/18,84,6.12,1,1hr,1hr,male,0.51
18,GRZ,4/5/18,4/19/18,5/4/18,6/4/18,Yes,565.57,12.65,44.72,40.248,9/24/18,143,6.39,1,1hr,1hr,male,0.3127972027972028
19,GRZ,4/5/18,4/19/18,5/4/18,6/4/18,Yes,503.75,12.65,39.83,35.847,9/4/18,123,6.48,1,1hr,1hr,male,0.3687804878048781
20,GRZ,4/5/18,4/19/18,5/4/18,6/4/18,Yes,504.71,12.65,39.9,35.91,7/1/18,58,5.04,1,1hr,1hr,male,0.6082758620689656
21,GRZ,4/5/18,4/19/18,5/4/18,6/4/18,Yes,556.35,12.65,43.99,39.591,7/12/18,69,5.4,1,1hr,1hr,,0.5478260869565218
23,GRZ,5/14/18,5/28/18,6/12/18,7/13/18,Yes,524.51,12.75,41.12,37.008,11/20/18,161,7.11,1,1hr,1hr,male,0.3091304347826087
24,GRZ,5/14/18,5/28/18,6/12/18,7/13/18,Yes,484.66,12.75,38.0,34.2,10/17/18,127,5.67,1,2hr,2hr,male,0.3125196850393701
27,GRZ,5/14/18,5/28/18,6/12/18,7/13/18,Yes,500.06,12.75,39.21,35.289,11/20/18,161,6.3,1,1hr,1hr,male,0.27391304347826084
28,GRZ,5/14/18,5/28/18,6/12/18,7/13/18,Yes,537.57,12.75,42.15,37.935,9/16/18,96,6.57,1,1hr,1hr,male,0.4790625
34,GRZ,5/14/18,5/28/18,6/12/18,7/13/18,Yes,522.04,12.75,40.93,36.837,9/2/18,82,5.76,1,1hr,1hr,male,0.49170731707317067
35,GRZ,5/14/18,5/28/18,6/12/18,7/13/18,Yes,478.56,12.75,37.52,33.768,10/20/18,130,6.03,1,2hr,2hr,male,0.3246923076923077
39,GRZ,7/31/17,8/14/17,6/29/18,7/27/18,Yes,490.67,13.05,37.6,33.84,11/25/18,149,6.84,1,1hr,1hr,male,0.32134228187919467
40,GRZ,7/31/17,8/14/17,6/29/18,7/27/18,No,373.59,13.05,28.63,25.767,11/6/18,130,5.04,1,2hr,2hr,female,0.2713846153846154
41,GRZ,7/31/17,8/14/17,6/29/18,7/27/18,Yes,437.48,13.05,33.52,30.168,11/26/18,150,6.3,1,1hr,1hr,male,0.294
46,GRZ,3/13/18,7/22/18,8/6/18,9/3/18,Yes,515.81,12.15,42.44,38.196,11/11/18,97,5.67,1,2hr,2hr,male,0.40917525773195873
47,GRZ,7/8/18,7/22/18,8/6/18,9/3/18,Yes,477.2,12.15,39.26,35.334,12/24/18,140,5.9,1,2hr,2hr,male,0.29500000000000004
49,GRZ,7/8/18,7/22/18,8/6/18,9/3/18,Yes,513.87,12.15,42.28,38.052,12/16/18,132,6.6,1,1hr,1hr,male,0.35
53,GRZ,7/8/18,7/22/18,8/6/18,9/3/18,Yes,525.53,12.15,43.24,38.916,11/30/18,116,5.31,1,2hr,2hr,male,0.3204310344827586
55,GRZ,3/13/18,7/22/18,8/6/18,9/3/18,No,519.03,12.15,42.7,38.43,11/14/18,100,5.13,1,1hr,1hr,female,0.3591
58,GRZ,3/13/18,7/22/18,8/6/18,9/3/18,No,477.99,12.15,39.32,35.388,11/20/18,106,5.13,1,2hr,2hr,female,0.3387735849056604
61,GRZ,3/13/18,7/22/18,8/6/18,9/3/18,No,488.52,12.15,40.19,36.171,10/16/18,71,4.95,1,1hr,1hr,female,0.4880281690140845
69,GRZ,7/12/18,7/26/18,8/17/18,9/17/18,No,435.18,12.04,36.13,32.517,12/7/18,112,5.0,1,2hr,2hr,female,0.3125
70,GRZ,7/12/18,7/26/18,8/17/18,9/17/18,No,490.22,12.04,40.7,36.63,1/8/19,144,5.6,1,1hr,1hr,female,0.27222222222222225
71,GRZ,7/12/18,7/26/18,8/17/18,9/17/18,Yes,544.17,12.04,45.18,40.662,11/25/18,100,6.84,1,1hr,1hr,male,0.4788
73,GRZ,7/12/18,7/26/18,8/17/18,9/17/18,No,507.22,12.04,42.11,37.899,1/3/19,139,5.0,1,1hr,1hr,female,0.2517985611510791
74,GRZ,7/12/18,7/26/18,8/17/18,9/17/18,Yes,538.0,12.04,44.67,40.203,12/26/18,131,6.0,1,1hr,1hr,male,0.32061068702290074
75,GRZ,7/12/18,7/26/18,8/17/18,9/17/18,No,442.34,12.04,36.73,33.057,11/1/18,76,5.04,1,1hr,1hr,female,0.4642105263157895
77,GRZ,7/12/18,7/26/18,8/17/18,9/17/18,No,441.21,12.04,36.63,32.967,11/4/18,79,4.59,1,2hr,2hr,female,0.4067088607594937
78,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,No,529.16,12.04,43.93,39.537,10/28/18,72,4.59,1,2hr,2hr,female,0.44625000000000004
82,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,No,495.3,12.04,41.12,37.008,11/28/18,103,5.04,1,2hr,2hr,female,0.3425242718446602
84,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,No,512.3,12.04,42.53,38.277,12/1/18,106,5.2,1,2hr,2hr,female,0.3433962264150944
86,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,Yes,543.93,12.04,45.16,40.644,11/26/18,101,5.04,1,2hr,2hr,male,0.34930693069306934
87,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,No,492.75,12.04,40.91,36.819,11/27/18,102,4.86,1,2hr,2hr,female,0.3335294117647059
88,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,Yes,589.67,12.04,48.96,44.064,10/30/18,74,6.03,1,1hr,1hr,male,0.5704054054054054
90,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,Yes,558.12,12.04,46.34,41.706,11/23/18,98,5.94,1,2hr,2hr,male,0.4242857142857143
91,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,No,423.17,12.04,35.13,31.617,10/28/18,72,4.5,1,2hr,2hr,female,0.4375
92,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,Yes,548.86,12.04,45.57,41.013,11/5/18,80,5.4,1,2hr,2hr,male,0.47250000000000003
95,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,Yes,570.51,12.04,47.37,42.633,11/27/18,102,5.4,1,1hr,1hr,male,0.37058823529411766
96,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,Yes,548.18,12.04,45.51,40.959,12/24/18,129,6.0,1,1hr,1hr,male,0.32558139534883723
98,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,No,509.66,12.04,42.32,38.088,11/27/18,102,4.86,1,2hr,2hr,female,0.3335294117647059
99,GRZ,7/19/18,8/2/18,8/17/18,9/17/18,No,469.16,12.04,38.95,35.055,12/24/18,129,5.2,1,1hr,1hr,female,0.2821705426356589
102,GRZ,8/20/18,9/3/18,9/17/18,10/15/18,No,449.02,11.89,37.76,33.984,12/11/18,85,5.0,1,1hr,1hr,female,0.4117647058823529
103,GRZ,8/20/18,9/3/18,9/17/18,10/15/18,No,452.92,11.89,38.09,34.281,12/1/18,75,5.3,1,1hr,1hr,female,0.4946666666666667
106,GRZ,8/20/18,9/3/18,9/17/18,10/15/18,No,449.14,11.89,37.77,33.993,12/7/18,81,4.7,1,2hr,2hr,female,0.4061728395061729
108,GRZ,8/20/18,9/3/18,9/17/18,10/15/18,No,466.48,11.89,39.23,35.307,1/8/19,113,5.8,1,1hr,1hr,female,0.35929203539823007
112,GRZ,8/20/18,9/3/18,9/17/18,10/15/18,Yes,529.91,11.89,44.57,40.113,3/8/19,172,6.7,1,1hr,1hr,male,0.2726744186046512
116,GRZ,9/3/18,9/17/18,10/1/18,10/28/18,Yes,475.62,12.2,38.98,35.082,2/8/19,130,6.0,1,1hr,1hr,male,0.3230769230769231
117,GRZ,9/3/18,9/17/18,10/1/18,10/28/18,No,414.55,12.2,33.98,30.582,12/22/18,82,5.0,1,1hr,1hr,female,0.4268292682926829
122,GRZ,9/3/18,9/17/18,10/1/18,10/28/18,No,416.8,12.2,34.16,30.744,12/8/18,68,4.5,1,1hr,1hr,female,0.4632352941176471
127,GRZ,9/3/18,9/17/18,10/1/18,10/28/18,No,373.91,12.2,30.65,27.585,1/3/19,94,4.8,1,1hr,1hr,female,0.35744680851063826
Pilot.10,GRZ,1/14/18,1/28/18,2/10/18,.,Yes,0.0,0.0,0.0,0.0,7/14/18,154,5.85,1,2hr,2hr,male,0.2659090909090909
Pilot.2,GRZ,1/14/18,1/28/18,2/10/18,.,No,0.0,0.0,0.0,0.0,5/25/18,104,4.95,1,2hr,2hr,female,0.33317307692307696
Pilot.5,GRZ,1/14/18,1/28/18,2/10/18,.,No,0.0,0.0,0.0,0.0,6/21/18,131,5.4,1,2hr,2hr,female,0.2885496183206107
Pilot.6,GRZ,1/14/18,1/28/18,2/10/18,.,Yes,0.0,0.0,0.0,0.0,6/23/18,133,6.03,1,2hr,2hr,male,0.3173684210526316
Pilot.8,GRZ,1/14/18,1/28/18,2/10/18,.,Yes,0.0,0.0,0.0,0.0,7/2/18,142,6.39,1,2hr,2hr,male,0.315
