"Observed","FeedingScheme","Sex","Lifespan_days","Lifespan_weeks","Lifespan_3weeks"
"10",0,"DR","m",65,10,4
"13",1,"DR","m",374,54,18
"18",1,"DR","m",122,18,6
"21",1,"DR","m",110,16,6
"25",1,"DR","m",214,31,11
"33",1,"DR","m",152,22,8
"45",1,"DR","m",138,20,7
"47",1,"DR","m",408,59,20
"53",1,"DR","m",129,19,7
"55",1,"DR","m",152,22,8
"58",1,"DR","m",140,20,7
"61",1,"DR","m",101,15,5
"64",1,"DR","m",116,17,6
"66",1,"DR","m",145,21,7
"67",1,"DR","m",150,22,8
"4",1,"DR","m",108,16,6
"181",1,"DR","m",69,10,4
"23",1,"DR","m",152,22,8
"251",0,"DR","m",97,14,5
"41",1,"DR","m",105,15,5
"441",1,"DR","m",115,17,6
"471",1,"DR","m",69,10,4
"491",1,"DR","m",135,20,7
"521",1,"DR","m",163,24,8
"531",1,"DR","m",107,16,6
"54",1,"DR","m",117,17,6
"631",1,"DR","m",97,14,5
"641",1,"DR","m",180,26,9
"671",1,"DR","m",116,17,6
"72",1,"DR","m",200,29,10
"78",1,"DR","m",219,32,11
"85",1,"DR","m",120,18,6
"88",1,"DR","m",89,13,5
"89",1,"DR","m",168,24,8
"90",1,"DR","m",114,17,6
"91",1,"DR","m",133,19,7
