Number,Strain,Parents,HatchDate,DeathDate,Lifespan_days,BodyLength_cm,Observed,FeedingScheme,Sex,Lifespan_weeks,Lifespan_3weeks
440,GRZ,GRZ,2019-08-20,2019-11-23,95,,1,AL,m,14,5
441,GRZ,GRZ,2019-08-20,2019-10-23,64,,0,AL,f,10,4
442,GRZ,GRZ,2019-08-20,2019-10-25,66,5.2,1,AL,m,10,4
443,GRZ,GRZ,2019-08-20,2019-12-06,108,5.0,1,DR,m,16,6
445,GRZ,GRZ,2019-08-20,2019-11-13,85,,1,AL,f,13,5
446,GRZ,GRZ,2019-08-20,2019-10-23,64,,0,AL,f,10,4
447,GRZ,GRZ,2019-08-30,2019-10-23,54,,1,AL,m,8,3
448,GRZ,GRZ,2019-08-27,2020-01-04,130,6.0,1,AL,f,19,7
449,GRZ,GRZ,2019-08-27,2020-01-08,134,5.5,1,AL,m,20,7
450,GRZ,GRZ,2019-08-27,2019-12-23,118,4.2,1,DR,f,17,6
451,GRZ,GRZ,2019-08-27,2019-11-14,79,,1,AL,f,12,4
452,GRZ,GRZ,2019-08-27,2019-11-15,80,,1,DR,f,12,4
453,GRZ,GRZ,2019-08-27,2019-11-03,68,,1,AL,f,10,4
454,GRZ,GRZ,2019-08-27,2019-10-14,48,,1,AL,f,7,3
455,GRZ,GRZ,2019-08-27,2019-11-26,91,5.0,1,AL,f,13,5
456,GRZ,GRZ,2019-08-27,2019-12-16,111,,1,DR,f,16,6
457,GRZ,GRZ,2019-08-27,2019-10-23,57,,1,DR,f,9,3
458,GRZ,GRZ,2019-08-27,2019-11-04,69,4.5,1,DR,m,10,4
459,GRZ,GRZ,2019-08-27,2019-11-18,83,5.5,1,AL,m,12,4
460,GRZ,GRZ,2019-08-27,2019-12-16,111,4.1,1,DR,f,16,6
461,GRZ,GRZ,2019-08-20,2019-11-11,83,,1,AL,f,12,4
462,GRZ,GRZ,2019-08-20,2019-10-29,70,,0,AL,f,10,4
463,GRZ,GRZ,2019-08-30,2020-01-29,152,5.0,1,DR,m,22,8
464,GRZ,GRZ,2019-08-30,2019-11-08,70,,1,AL,f,10,4
467,GRZ,GRZ,2019-08-27,2019-12-02,97,,0,DR,m,14,5
468,GRZ,GRZ,2019-08-30,2019-11-29,91,,1,DR,f,13,5
469,GRZ,GRZ,2019-08-30,2019-12-12,104,,1,DR,f,15,5
470,GRZ,GRZ,2019-08-30,2019-11-07,69,,1,DR,f,10,4
471,GRZ,GRZ,2019-08-30,2019-11-17,79,,1,DR,f,12,4
472,GRZ,GRZ,2019-08-30,2019-10-28,59,3.5,1,AL,f,9,3
473,GRZ,GRZ,2019-08-30,2019-11-12,74,,1,DR,f,11,4
474,GRZ,GRZ,2019-08-30,2019-11-07,69,,1,DR,f,10,4
475,GRZ,GRZ,2019-08-27,2019-10-25,59,3.5,1,DR,f,9,3
476,GRZ,GRZ,2019-08-27,2019-12-02,97,,1,AL,f,14,5
477,GRZ,GRZ,2019-08-27,2019-12-10,105,,1,DR,f,15,5
478,GRZ,GRZ,2019-08-30,2019-11-21,83,5.0,1,AL,m,12,4
480,GRZ,GRZ,2019-08-30,2019-11-11,73,5.1,1,AL,m,11,4
481,GRZ,GRZ,2019-08-30,2019-11-14,76,,0,DR,f,11,4
482,GRZ,GRZ,2019-08-30,2019-11-21,83,5.4,1,AL,m,12,4
483,GRZ,GRZ,2019-08-30,2019-12-12,104,4.0,1,DR,f,15,5
484,GRZ,GRZ,2019-08-27,2019-12-10,105,4.6,1,DR,m,15,5
485,GRZ,GRZ,2019-08-30,2019-11-26,88,4.2,1,AL,m,13,5
486,GRZ,GRZ,2019-08-30,2019-11-12,74,,1,AL,f,11,4
487,GRZ,GRZ,2019-08-30,2019-12-23,115,5.0,1,DR,m,17,6
488,GRZ,GRZ,2019-08-30,2019-11-20,82,4.0,1,AL,f,12,4
489,GRZ,GRZ,2019-08-30,2020-01-23,146,6.0,1,AL,m,21,7
490,GRZ,GRZ,2019-08-30,2019-11-07,69,4.4,1,DR,m,10,4
491,GRZ,GRZ,2019-08-30,2019-11-03,65,,1,DR,f,10,4
493,GRZ,GRZ,2019-08-30,2020-01-12,135,5.0,1,DR,m,20,7
494,GRZ,GRZ,2019-09-10,2019-12-10,91,,1,AL,f,13,5
495,GRZ,GRZ,2019-09-10,2019-12-29,110,,1,AL,m,16,6
496,GRZ,GRZ,2019-09-10,2020-02-20,163,5.3,1,DR,m,24,8
497,GRZ,GRZ,2019-09-10,2019-12-26,107,4.8,1,DR,m,16,6
