"Observed","FeedingScheme","Sex","Lifespan_days","Lifespan_weeks","Lifespan_3weeks"
"1",1,"AL","m",92,14,5
"3",1,"AL","m",170,25,9
"6",1,"AL","m",106,16,6
"7",1,"AL","m",177,26,9
"8",1,"AL","m",119,17,6
"9",0,"AL","m",63,9,3
"11",1,"AL","m",126,18,6
"17",1,"AL","m",103,15,5
"29",1,"AL","m",102,15,5
"34",1,"AL","m",256,37,13
"35",0,"AL","m",60,9,3
"42",1,"AL","m",150,22,8
"44",1,"AL","m",74,11,4
"46",1,"AL","m",125,18,6
"49",1,"AL","m",148,22,8
"52",1,"AL","m",163,24,8
"59",1,"AL","m",71,11,4
"62",1,"AL","m",120,18,6
"63",1,"AL","m",134,20,7
"68",0,"AL","m",59,9,3
"69",1,"AL","m",154,22,8
"12",1,"AL","m",95,14,5
"31",1,"AL","m",66,10,4
"71",1,"AL","m",54,8,3
"92",1,"AL","m",134,20,7
"19",1,"AL","m",83,12,4
"36",1,"AL","m",83,12,4
"37",1,"AL","m",73,11,4
"39",1,"AL","m",83,12,4
"421",1,"AL","m",88,13,5
"461",1,"AL","m",146,21,7
"51",1,"AL","m",110,16,6
"56",1,"AL","m",97,14,5
"581",1,"AL","m",68,10,4
"60",1,"AL","m",110,16,6
"621",1,"AL","m",120,18,6
"65",1,"AL","m",114,17,6
"661",1,"AL","m",134,20,7
"70",1,"AL","m",94,14,5
"75",1,"AL","m",77,11,4
"81",1,"AL","m",99,15,5
"86",1,"AL","m",99,15,5
