"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"LOC107375582"	1.28106471450573	-0.278790744698031	1.28727889819411	-0.216573692840875	0.828540589221801	NA
"LOC107388276"	1.84096067711674	1.81682865042907	1.09337440332521	1.66167110269242	0.0965787382437235	NA
"LOC107382448"	1.11151699933865	-0.591121984165484	1.25572935812451	-0.470739957094221	0.637826446704549	NA
"LOC107377727"	40.269261781289	-1.91416149235695	0.790309270959692	-2.42204104480837	0.0154336072409601	0.150958573881197
"pex1"	301.760933171733	0.192190031434125	0.281626427292313	0.682428965498476	0.494967745362285	0.840847677789236
"LOC107393665"	19.5067618410344	0.946340781841047	0.632034615502035	1.49729264605128	0.134317127556468	0.50534931165527
"LOC107377394"	3.08314326606447	-0.881556568071685	1.13576924971941	-0.776175766591208	0.437645212497481	NA
"zbtb41"	106.197090755147	0.13855014902871	0.360980415244002	0.383816249241827	0.701114643656578	0.922254320084159
"LOC107377691"	310.380720779879	-0.217815762445445	0.280446650473132	-0.776674501471048	0.437350834307697	0.812137919566875
"tuba4a"	1455.70878048065	0.627957652293486	0.429020307049495	1.46370146581672	0.143275534830805	0.524259550891423
"nup107"	698.922755648052	-0.00285935116535053	0.293107922895054	-0.00975528446010076	0.992216532596266	0.997561011282928
"pcif1"	180.141600865002	-0.330750442860292	0.42853418840698	-0.771818099484229	0.440222170284611	0.813635555918983
"LOC107380988"	12905.5834663712	0.842213030522943	0.257261548881991	3.27376179682909	0.00106126032240788	0.0228279415328499
"LOC107373113"	43.3935544545447	-0.128823570434882	0.460467603659556	-0.279766848766469	0.779656387286064	0.946477590832094
"LOC107395481"	10.2794293078893	-0.328908692810826	0.617742689881117	-0.53243639819376	0.594423781420902	0.883810371638055
"cnksr1"	649.602120785269	-0.165438668211826	0.297697191423207	-0.555728011476728	0.578396804456303	0.878379063190084
"LOC107376497"	335.239254805212	0.383739288330161	0.281273976090718	1.36429005506857	0.172476294622498	0.569019169507257
"LOC107391344"	204.104029038078	0.0549414827222215	0.385392409639153	0.142559846400877	0.88663781141738	0.974930658688705
"mmp23b"	5.21951541586326	0.143447000806265	1.07168718100315	0.133851559810571	0.893519955158906	0.976571489452522
"LOC107394246"	785.570332400872	-0.0704457920332102	0.233303600093894	-0.301949014095191	0.762690930650397	0.941360239987607
"LOC107373117"	1.44081908562876	0.31785171270758	1.24079845903547	0.256167075638264	0.797821830414944	NA
"sox4"	89.6591646818725	0.133778074949078	0.390686677699203	0.342417805841018	0.732036490390136	0.930900065263048
"LOC107384880"	14.4237094316018	-0.0242024533990085	0.792969166520014	-0.0305213045107696	0.975651302752244	0.993301446524583
"hdc"	8.79099578562936	1.84929593197722	0.802313849717244	2.30495327062965	0.0211691906616149	0.182662816940027
"LOC107388498"	1.63101545882594	-0.25922872795238	1.09748430399026	-0.23620267461673	0.813275404189383	NA
"slc25a16"	301.835257885537	0.737033859611116	0.237174867534886	3.10755463794117	0.00188642111339412	0.0349895598145444
"LOC107390631"	1.17544725458288	-0.840798973440325	1.22837927295103	-0.684478313786922	0.493673178784885	NA
"ift43"	28.1633862795413	0.210929135722041	0.499129588334613	0.422593932821781	0.672591553994281	0.91048121501081
"znf839"	151.815617755765	0.175435084228923	0.345044249734076	0.508442277661864	0.611143209927795	0.889142116849147
"LOC107376001"	1.09656202617276	-0.279127152825116	1.29381060047925	-0.215740350806928	0.829190146391676	NA
"ptpn23"	230.885424677742	-0.0877041137333968	0.399798763490057	-0.219370647792356	0.82636133283542	0.959141352944686
"LOC107374154"	11.9008255697857	0.0673472328116792	0.524922345623685	0.128299420615559	0.897912023598919	0.977450606352719
"LOC107385261"	20.2798001901029	1.94155669769635	0.759870940410066	2.5551137626721	0.0106153097607146	0.117424000422328
"cit"	10.194666908256	-0.915820477313229	1.07295379690227	-0.853550712022551	0.393353977838288	0.782394179535224
"rab13"	11.7889071091688	0.188364183670072	0.577078930606709	0.326409739950194	0.744114369318513	0.934133521894221
"LOC107390810"	4.40066076178498	-1.74330226344974	1.07911211417929	-1.61549688910276	0.106203133480912	0.454701321272587
"usp12"	419.146915860906	0.0385937703842968	0.157515161083213	0.245016226494593	0.806443867309286	0.955098263352878
"agpat5"	758.457279662809	0.415818912078941	0.303522558460072	1.36997696048889	0.170694093757198	0.566966922701893
"LOC107384508"	13.6819121595833	1.13580794380437	0.647942126906846	1.75294659297198	0.0796111748439697	0.392783904377649
"LOC107390383"	2.67475208853539	1.54018175532603	1.1908888888237	1.29330432904396	0.195905824000685	NA
"LOC107379978"	437.345994783957	0.175506057567903	0.402207371385821	0.436357138267233	0.662577631722896	0.907321116917403
"ap3b1"	435.600359409281	-0.359655948176982	0.274986306200067	-1.30790493951111	0.190905553938707	0.595339902016717
"LOC107390583"	1282.36559449613	1.49008001733275	0.465366689769178	3.20194816279573	0.00136501559268056	0.0278212143556456
"LOC107377840"	789.112573165321	6.95547140263543	0.380504678638611	18.2795949514237	1.20316269517286e-74	4.26689618216103e-71
"LOC107388775"	234.062612156779	0.346490725771229	0.468450334771181	0.739653064695697	0.459510534257348	0.823502738609921
"lypla1"	535.243232270931	-0.0729243363604358	0.209397786670733	-0.348257436336256	0.727646856254875	0.929328423381406
"LOC107376879"	1.43402080530933	-0.640338067067774	1.12632825966438	-0.568518157627136	0.569683179859077	NA
"nfrkb"	182.998205172287	0.1049463154638	0.297642426160425	0.35259192319322	0.724394393553382	0.927948657965309
"ccdc115"	334.074491235028	0.044460243292944	0.329621709523745	0.134882630628858	0.892704672791502	0.976503697266104
"LOC107373832"	16.2486069624434	-0.61017084346012	0.647910791947775	-0.941751319847289	0.34631997362476	0.749964317692308
"LOC107391641"	15716.5775669395	0.0670672053873491	0.271563568726214	0.246966872993797	0.804933861598472	0.954806181403742
"nelfcd"	765.716376322599	0.495643211846649	0.260221952026445	1.90469408129057	0.0568198488232464	0.326483979045303
"rad52"	17.1460989410419	-0.198542236585842	0.647824873856668	-0.30647516728382	0.759242884395505	0.939944245671901
"LOC107382285"	20864.8899837099	0.934571043212056	0.220096049809473	4.24619634937143	2.17430107044353e-05	0.000941507396485908
"dmap1"	308.585786852206	0.0503363940773355	0.3999423894863	0.12585911221361	0.899843448958881	0.977705585002928
"LOC107374174"	133.010096582802	-4.21169731037417	0.557039586788299	-7.56085816926834	4.00418673940487e-14	9.1028511875804e-12
"LOC107397157"	1322.2950236488	-0.707563348251811	0.261496739427753	-2.70582092075109	0.00681357779003109	0.0872965038821035
"LOC107382894"	63.075736458182	-1.61888674803725	0.648568732079459	-2.49609126676017	0.012557028889717	0.132064527079439
"LOC107396341"	1.88459648466068	0.714393993339234	1.15985905047554	0.615931731572325	0.537939577728061	NA
"rnf141"	1017.74731202963	0.00766605936318016	0.193267875792981	0.0396654608621644	0.968359838233437	0.992405804082134
"LOC107382360"	78.439157539258	-0.316587091356467	0.419533721334422	-0.754616554658562	0.450479087734262	0.818248895748339
"LOC107380615"	1.93821042489239	-0.336807382968289	1.08099285634326	-0.31157225599772	0.755365621841301	NA
"zbtb40"	317.827409225125	0.0886181820040101	0.327079634276405	0.270937633277165	0.786438999986667	0.949747078101449
"LOC107377153"	165.235947847926	-0.0604749969990275	1.07957736111856	-0.0560172889660901	0.955328034183337	0.989097003980001
"LOC107389301"	606.900663985109	0.393822386789617	0.375052505610572	1.05004600928739	0.293696959835797	0.706159978397497
"sema4b"	33.3622984797869	-0.841307743563685	0.473425070234829	-1.7770663119855	0.0755573300919294	0.380511950352199
"pemt"	526.493226285306	0.491922179000277	0.239667404706695	2.05252015643217	0.0401191382081867	0.269059212824344
"dstyk"	95.9507052297875	-0.647885079933915	0.570826126776387	-1.13499549082082	0.256377207691475	0.66923018501181
"LOC107390588"	1391.49785591837	-0.0318125544972735	0.362930390348238	-0.0876547000286992	0.930151125113597	0.985158576203921
"LOC107393772"	122.756836247459	-0.18462507038017	0.350225733865048	-0.527160207054664	0.598082339690891	0.885426443617577
"LOC107383130"	7.00250404018452	0.507122461886656	0.685656085983278	0.739616364900207	0.459532808925472	0.823502738609921
"cct5"	5169.12455990987	-0.0819079829896923	0.337234771700145	-0.242881190977902	0.80809743677599	0.955406304101337
"blnk"	101.354018965042	-2.24453172201501	0.702305401121147	-3.19594825617443	0.00139372103860564	0.0281474504060993
"LOC107377469"	7679.17534431024	0.41576639405124	0.290318942497934	1.43210219241618	0.152114577126505	0.539235098090382
"xirp2"	3.22215480147416	-1.56588076223016	1.07820043179381	-1.45230952989416	0.146415558848249	0.530837623038209
"LOC107388332"	2.11509944746187	-2.20795508295069	1.1296883120111	-1.95448165611276	0.0506442821770961	NA
"LOC107395573"	1.83153001050959	-0.590110520982203	1.20836811888138	-0.488353268976085	0.625299636174747	NA
"LOC107376310"	1.49258789581689	0.318217081752258	1.22522130105941	0.259722126506538	0.79507812370705	NA
"LOC107380806"	259.950600189259	2.46468863049324	1.51627188336264	1.62549253701605	0.104057652740904	0.451247321692765
"LOC107375877"	3.24698099865732	-0.646841164802187	0.934374629260604	-0.692271755402916	0.488766684051575	0.83769856980387
"rpgrip1l"	66.0287634594473	0.166372830048091	0.375831733633158	0.4426790373441	0.657997907060711	0.905771291508602
"maea"	561.685819873052	0.391204689167077	0.214555452411623	1.82332671936276	0.0682539218072949	0.36084631529128
"slc33a1"	1563.50354491005	-0.378797133028343	0.370343933469413	-1.02282526806836	0.306390468683648	0.720030618025969
"bola1"	438.173822621768	0.0758068262598645	0.257933310877683	0.293900876943396	0.768833647981992	0.943172954610313
"LOC107373939"	21.4898251950482	0.512955141447987	0.508186509050116	1.00938362650906	0.312790687855064	0.725684217852413
"farsa"	1022.11944420292	-0.200011261020208	0.24083107540092	-0.83050437194304	0.406253677018901	0.790229382102884
"LOC107395396"	4.6718322636725	0.27802846041805	0.949753661945388	0.29273744504292	0.769722846025539	0.943197246876204
"pm20d1"	427.331891051743	-0.135435658849474	0.288288999924005	-0.469791281960727	0.638504143617274	0.897954279881545
