"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"BP","GO:0006457","protein folding",185,0.697557120549942,2.08257384603601,1e-10,3.682e-07,3.37578947368421e-07,1630,"tags=31%, list=13%, signal=28%","HSPD1/SDF2L1/DNAJB11/P3H1/MOGS/QSOX2/PDIA6/DERL1/SGTA/ERO1B/SDF2/HSP90B1/HSP90AA1/PSMC1/PDIA4/UGGT1/ERP44/CALR/HSPA4L/HSPA9/NPPA/CLGN/CANX/DNAJC25/DNAJC10/HSPBP1/VCP/HSPA5/CCT3/RAD23B/CCT6A/DNAJC1/ALG12/CCT4/LMAN1/DNAJC3/PDIA5/NUDC/PTGES3/PFDN4/CDC37/HSPA13/TRAP1/BAG5/CCT8/LMAN2L/GNB3/TTC1/PPIL3/RIC3/DNAJC2/PPIL1/UNC45A/CCT7/PDIA3/GNB5/FKBP9/GAK"
"BP","GO:0022613","ribonucleoprotein complex biogenesis",383,0.597689593571878,1.92815925160066,1e-10,3.682e-07,3.37578947368421e-07,3308,"tags=45%, list=26%, signal=35%","MDN1/AGO1/HEATR3/HSP90AA1/PELP1/TSC1/EIF6/WDR36/ERI2/DICER1/HELQ/RPL5/STRAP/PRPF8/PDCD11/PTBP2/SNRNP200/EIF4H/WDR3/DHX9/YTHDC1/HEATR1/ABCE1/CLNS1A/EXOSC6/DDX47/PTGES3/EIF4A3/NOL8/C1QBP/RIOK1/NOP14/PRPF31/SDAD1/EIF3C/FBL/RPF2/ATR/GEMIN6/PRMT7/MRPL22/PUF60/DENR/RPS5/RSL1D1/USP4/PA2G4/WDR77/DDX56/EIF2A/SMN1/BMS1/NHP2/SIRT7/DHX30/RPS9/RIOK3/UTP3/NSUN5/EIF3E/BYSL/COIL/NIP7/NOM1/MRPL1/LTV1/PRPF19/UTP20/SNRPG/RUVBL2/SF3B1/WBP11/DDX10/PRKDC/RRS1/PWP1/FDXACB1/PPAN/EMG1/RRP36/WDR74/NOL10/KRR1/EIF4B/GTF3A/ESF1/UTP18/TEX10/DHX29/ZNF622/POLR2D/EIF5/KRI1/CHD7/MRPS2/SNRPF/RPP38/ZCCHC4/RPL10/LSM6/AGO4/EXOSC5/EIF3M/EIF3L/GEMIN8/NPM3/MPHOSPH6/NUP88/UTP14A/NAT10/PRMT5/RPS21/EIF2S2/SHQ1/GTF2H5/DDX27/RRP12/FTSJ3/RPL35/ERCC2/MRPS7/CRNKL1/ABT1/EXOSC9/RAN/IMP3/NIFK/RRP1/SNU13/DDX31/RPS6/TSR2/SNRPE/MALSU1/RPL11/WDR75/UTP15/WDR12/MRTO4/PRPF3/NOL9/RPSA/RPUSD2/RPS19/TAF9/RPL14/MRM1/GEMIN5/SF3A1/NUFIP1/AGO3/RPS28/DDX39B/BOP1/SF3A3/TRMT61B/DDX23/EIF2D/RPS10/DDX18/RPS7/RPL23A/EIF2S3/IMP4/ZRSR2/EIF3A/GAR1/NOP9/AATF/EXOSC8/SNRPD2/RPS16/NOP2/WDR46"
"BP","GO:0034976","response to endoplasmic reticulum stress",231,0.646061924424294,1.99860997521397,2.00725519053122e-10,4.92714240769062e-07,4.51738062879551e-07,1008,"tags=27%, list=8%, signal=25%","SDF2L1/DNAJB11/DERL2/HYOU1/HM13/SEL1L/PDIA6/DERL1/SGTA/CFTR/SEC16A/SYVN1/STT3B/SEC61B/HSP90B1/YIF1A/UGGT2/PREB/PDIA4/SRPRA/UGGT1/UFL1/ERP44/MANF/PDX1/CALR/CLGN/MAN1B1/CANX/SSR1/SRPRB/DNAJC10/PSMC6/UFM1/VCP/HSPA5/ARFGAP1/OPA1/LRRK2/FKBP14/MYDGF/NPLOC4/EIF4G1/GFPT1/THBS1/EDEM1/ATP2A2/TBL2/RNF121/UBA5/DNAJC3/SEC31A/USP14/PDIA5/TMCO1/TMED2/DCTN1/ERLEC1/CDK5RAP3/ERMP1/GORASP2/UFC1"
"BP","GO:0070498","interleukin-1-mediated signaling pathway",84,0.806112069973351,2.15593952313644,3.00382065040313e-10,5.53003381739215e-07,5.07013306623307e-07,1408,"tags=46%, list=11%, signal=42%","PSMC4/PSMD14/PSMD2/IL1B/PSMC3/PSMD6/PSMD1/PSMC5/PSMC2/PSMC1/PSMA3/PSMD7/PSMD13/PSMD8/PSMD4/PSMD3/NFKB1/PSMB5/PSMA5/PSMC6/PSMB4/PSMD12/PSMB2/PSMD11/IRAK1/IRAK4/PSMB1/PSMA2/TAB1/PSMA1/PSMA6/IKBKB/NOD1/PSMA4/PELI2/IL1RAP/PSMB3/CUL1/RBX1"
"BP","GO:0010498","proteasomal protein catabolic process",401,0.555097384859105,1.80620978044527,4.05587249650305e-10,5.9734890128497e-07,5.47670867212012e-07,1063,"tags=17%, list=8%, signal=16%","SDF2L1/PSMC4/DESI1/DERL2/PSMD14/HM13/SEL1L/PSMD2/DERL1/SGTA/PLAA/PSMC3/PSMD6/PSMD1/SYVN1/STT3B/PSMC5/SEC61B/PSMC2/HSP90B1/UGGT2/PSMC1/UGGT1/PSMA3/UFL1/PSMD7/PSMD13/PSMD8/PSMD4/PSMD3/ANAPC4/MAN1B1/PSMB5/PSMA5/DNAJC10/PSMC6/PSMB4/HSPBP1/PSMD12/VCP/HSPA5/PSMB2/RAD23B/LTN1/LRRK2/PSMD11/NSFL1C/NPLOC4/USP5/FBXW7/USP7/EDEM1/DDI2/KLHL40/PSMB1/ALAD/FBXO38/PSMA2/RNF121/USP14/ERLEC1/PSMA1/BAG5/PSMA6/N4BP1/FBXL6/RNF126"
"BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle",175,0.684943370172417,2.03970759600845,6.60062307397718e-10,8.10116471946133e-07,7.42743796429643e-07,1619,"tags=33%, list=13%, signal=29%","PSMC4/MAPRE1/PSMD14/DYNC1H1/PSMD2/PSMC3/PSMD6/PSMD1/PSMC5/PSMC2/HSP90AA1/PSMC1/PSMA3/PSMD7/PSMD13/PSMD8/PSMD4/PSMD3/PSMB5/PSMA5/PSMC6/PSMB4/PSMD12/PSMB2/TUBB4B/CEP192/PSMD11/TUBA1A/CEP164/PSMB1/PSMA2/AKAP9/TUBA4A/DCTN1/CDK5RAP3/PSMA1/PLK4/RCC2/CEP131/PSMA6/PSMA4/CEP250/ODF2/AVEN/PPP2R1A/CEP152/CEP76/PSMB3/CDC6/CDK5RAP2/CUL1/RBX1/CDK4/RAD51C/PSME4/RINT1/PSMD5/TAOK3"
"CC","GO:1905368","peptidase complex",80,0.801999719495547,2.13590818932896,9.91590855332732e-10,1.04315357981003e-06,9.56400563323931e-07,1402,"tags=49%, list=11%, signal=44%","PSMC4/PSMD14/PSMD2/PSMC3/PSMD6/PSMD1/PSMC5/PSMC2/PSMC1/PSMA3/PSMD7/PSMD13/PSMD8/PSMD4/PSMD3/UBE3C/TXNL1/PSMB5/PSMA5/PSMC6/PSMB4/PSMD12/VCP/PSMB2/RAD23B/PSMD11/ADRM1/PSMB1/PSMA2/USP14/PSMA1/PSMA6/SPCS2/SPCS1/PSMA4/PSMB3/RAD23A/SEC11C/UBE3A"
"BP","GO:1902749","regulation of cell cycle G2/M phase transition",185,0.672279850163605,2.00710793700155,2.59326859991949e-09,2.12327242450535e-06,1.94669220543431e-06,1619,"tags=32%, list=13%, signal=28%","PSMC4/MAPRE1/PSMD14/DYNC1H1/PSMD2/PSMC3/PSMD6/PSMD1/PSMC5/PSMC2/HSP90AA1/PSMC1/PSMA3/PSMD7/PSMD13/PSMD8/PSMD4/PSMD3/PSMB5/PSMA5/PSMC6/PSMB4/PSMD12/PSMB2/TUBB4B/CEP192/PSMD11/TUBA1A/CEP164/PSMB1/PSMA2/AKAP9/TUBA4A/DCTN1/CDK5RAP3/PSMA1/PLK4/RCC2/CEP131/PSMA6/PSMA4/CEP250/ODF2/AVEN/PPP2R1A/CEP152/CEP76/PSMB3/CDC6/CDK5RAP2/ATAD5/CUL1/RBX1/CDK4/RAD51C/PSME4/RINT1/PSMD5/TAOK3"
"BP","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle",85,0.78775127350503,2.12469083540192,2.6285442854354e-09,2.12327242450535e-06,1.94669220543431e-06,1619,"tags=44%, list=13%, signal=38%","PSMC4/PSMD14/PSMD2/PSMC3/PSMD6/PSMD1/PSMC5/PSMC2/PSMC1/PSMA3/PSMD7/PSMD13/PSMD8/PSMD4/PSMD3/PSMB5/PSMA5/PSMC6/PSMB4/PSMD12/PSMB2/PSMD11/PSMB1/PSMA2/CDK5RAP3/PSMA1/PSMA6/PSMA4/AVEN/PSMB3/CDC6/CUL1/RBX1/PSME4/RINT1/PSMD5/TAOK3"
"CC","GO:0140534","endoplasmic reticulum protein-containing complex",103,0.756745723086384,2.08699090601468,2.88331399308169e-09,2.12327242450535e-06,1.94669220543431e-06,1693,"tags=44%, list=13%, signal=38%","SDF2L1/DERL2/HYOU1/HM13/SEL1L/PDIA6/DERL1/SYVN1/STT3B/SEC61B/NBAS/MAGT1/SRPRA/SEC61G/CALR/SRPRB/DNAJC10/VCP/HSPA5/SRP9/OST4/NPLOC4/SEC61A1/TUSC3/SSR4/STT3A/KRTCAP2/UGT1A1/DDOST/RPN2/SPCS2/EMC4/SPCS1/TMEM258/ERN1/DAD1/OSTC/EMC9/SEC11C/PDIA3/FAF1/RINT1/RPN1/EMC10/EMC2"
