GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,enrichment,padj
GO:0015850,8.49E-05,13.01211164,0.458690026,5,216,organic hydroxy compound transport,1.900291495,0.011202441
GO:0046486,0.000328926,7.549672301,0.95985135,6,452,glycerolipid metabolic process,0.520753387,0.021709133
GO:0006650,0.00085221,7.748232563,0.755989117,5,356,glycerophospholipid metabolic process,0.699564449,0.03749724
GO:0006644,0.002156999,6.231012118,0.932245006,5,439,phospholipid metabolic process,0.460043275,0.053724234
GO:0098916,0.002719264,4.925362899,1.441900591,6,679,anterograde trans-synaptic signaling,0.230764726,0.053724234
GO:0007268,0.002719264,4.925362899,1.441900591,6,679,chemical synaptic transmission,0.230764726,0.053724234
GO:0099537,0.002925222,4.849870481,1.46313624,6,689,trans-synaptic signaling,0.224114796,0.053724234
GO:0099536,0.003256014,4.740687679,1.494989714,6,704,synaptic signaling,0.214666193,0.053724234
GO:0008610,0.004624272,4.396,1.605415091,6,756,lipid biosynthetic process,0.186151004,0.067822657
GO:0044255,0.006566164,3.643914259,2.293450129,7,1080,cellular lipid metabolic process,0.106416324,0.086673362
GO:0055085,0.010783278,3.053378378,3.159864623,8,1488,transmembrane transport,0.0640681,0.129399333
GO:0034220,0.013439671,3.143056911,2.626849824,7,1237,ion transmembrane transport,0.081117837,0.141179642
GO:1905114,0.013904056,3.909858388,1.45464198,5,685,cell surface receptor signaling pathway involved in cell-cell signaling,0.188949864,0.141179642
GO:0042592,0.017737466,2.627702055,4.157940142,9,1958,homeostatic process,0.041626975,0.167238962
GO:0007267,0.020558147,2.686144578,3.542106311,8,1668,cell-cell signaling,0.050986549,0.180911696
GO:0006812,0.023668752,3.018366465,2.28070874,6,1074,cation transport,0.092235989,0.187690814
GO:0019637,0.025252035,2.970408743,2.314685779,6,1090,organophosphate metabolic process,0.089548018,0.187690814
GO:0055082,0.025594202,3.313093244,1.700975513,5,801,cellular chemical homeostasis,0.13818557,0.187690814
GO:0006629,0.029106895,2.649965205,3.066427766,7,1444,lipid metabolic process,0.059528012,0.202216326
GO:0048878,0.034880709,2.737645588,2.495188798,6,1175,chemical homeostasis,0.077060751,0.230212683
GO:0019725,0.053377136,2.67671577,2.076846506,5,978,cellular homeostasis,0.092693657,0.335513428
GO:0006811,0.060077477,1.91174833,7.653328024,12,3604,ion transport,0.016382094,0.343806838
GO:0003008,0.062167535,2.205454545,3.612183954,7,1701,system process,0.042898997,0.343806838
GO:0051241,0.062510334,2.550207378,2.172406928,5,1023,negative regulation of multicellular organismal process,0.084718149,0.343806838
GO:0032501,0.124711491,1.600712366,14.2618621,18,6716,multicellular organismal process,0.007076343,0.658476672
GO:0071702,0.13049153,1.696716759,6.00331807,9,2827,organic substance transport,0.019968646,0.662495459
GO:0043269,0.141451724,1.94373655,2.788240759,5,1313,regulation of ion transport,0.051427839,0.691541763
GO:0006820,0.15597215,1.616901617,6.241157343,9,2939,anion transport,0.018475707,0.7000927
GO:0006810,0.156313994,1.527651839,10.80257482,14,5087,transport,0.009593173,0.7000927
GO:0006952,0.160752612,1.854836522,2.90928396,5,1370,defense response,0.047237466,0.7000927
GO:0006950,0.16441571,1.545148661,8.10777092,11,3818,response to stress,0.013380692,0.7000927
GO:0051234,0.180594738,1.474811676,11.05527905,14,5206,establishment of localization,0.009159619,0.73923154
GO:1901565,0.184807885,1.759388579,3.051562811,5,1437,organonitrogen compound catabolic process,0.042935269,0.73923154
GO:0010648,0.199815283,1.7065469,3.136505408,5,1477,negative regulation of cell communication,0.04064122,0.756463781
GO:0023057,0.200577518,1.7039801,3.140752538,5,1479,negative regulation of signaling,0.040531379,0.756463781
GO:1901575,0.217352219,1.530128977,4.954276993,7,2333,organic substance catabolic process,0.022804801,0.796958135
GO:0065008,0.229476018,1.4095542,8.674762758,11,4085,regulation of biological quality,0.011688702,0.818671199
GO:0007399,0.274935985,1.406167401,5.317406596,7,2504,nervous system development,0.019796441,0.955040791
GO:0048856,0.296561957,1.286002784,12.06397239,14,5681,anatomical structure development,0.007691945,0.996019692
GO:0007275,0.302137144,1.281865087,11.14022165,13,5246,multicellular organism development,0.008376151,0.996019692
GO:0051049,0.31554886,1.403308614,3.733227155,5,1758,regulation of transport,0.028687321,0.996019692
GO:0050896,0.318029493,1.265493906,17.15415754,19,8078,response to stimulus,0.005163018,0.996019692
GO:1901700,0.324706182,1.384504572,3.777822019,5,1779,response to oxygen-containing compound,0.028014046,0.996019692
GO:0048519,0.346030139,1.226014814,11.46512708,13,5399,negative regulation of biological process,0.007908141,0.996019692
GO:0006796,0.349615971,1.260413355,6.695600239,8,3153,phosphate-containing compound metabolic process,0.014269205,0.996019692
GO:0006793,0.361227325,1.243864065,6.765677882,8,3186,phosphorus metabolic process,0.01397514,0.996019692
GO:0009058,0.38514888,1.178963806,12.72227752,14,5991,biosynthetic process,0.006916512,0.996019692
GO:0009056,0.386487811,1.223163156,5.962970336,7,2808,catabolic process,0.01574206,0.996019692
GO:0002376,0.412257663,1.187535727,6.107372752,7,2876,immune system process,0.015006451,0.996019692
GO:0032502,0.419918869,1.141710889,12.96861106,14,6107,developmental process,0.006656254,0.996019692
GO:0048731,0.431796555,1.134755187,10.10816909,11,4760,system development,0.008608679,0.996019692
GO:0051179,0.432049216,1.129160275,14.03888778,15,6611,localization,0.006085758,0.996019692
GO:0048513,0.467189941,1.109479946,7.394253102,8,3482,animal organ development,0.011700116,0.996019692
GO:0051649,0.468422033,1.115545244,6.421660362,7,3024,establishment of localization in cell,0.013573511,0.996019692
GO:0009605,0.483156219,1.106962814,5.52126883,6,2600,response to external stimulus,0.015738462,0.996019692
GO:0023052,0.493330009,1.068809355,12.49080895,13,5882,signaling,0.006662712,0.996019692
GO:0010646,0.495090587,1.077796547,7.559891167,8,3560,regulation of cell communication,0.011193031,0.996019692
GO:1901576,0.505094629,1.057532098,12.57150441,13,5920,organic substance biosynthetic process,0.006577452,0.996019692
GO:0023051,0.510369134,1.060917942,7.651204459,8,3603,regulation of signaling,0.010927459,0.996019692
GO:0051239,0.519371699,1.061624409,5.714513239,6,2691,regulation of multicellular organismal process,0.014692022,0.996019692
GO:0032879,0.574975199,0.995839791,6.02030659,6,2835,regulation of localization,0.013237405,0.996019692
GO:0010033,0.584294153,0.983613445,7.090583317,7,3339,response to organic substance,0.011133275,0.996019692
GO:0007166,0.611974203,0.953961709,6.232663083,6,2935,cell surface receptor signaling pathway,0.012350734,0.996019692
GO:0044248,0.612247804,0.95418864,5.200610525,5,2449,cellular catabolic process,0.014782577,0.996019692
GO:0071705,0.613411814,0.952791778,5.20698122,5,2452,nitrogen compound transport,0.014746427,0.996019692
GO:0048523,0.637822918,0.932145558,10.48828721,10,4939,negative regulation of cellular process,0.007269084,0.996019692
GO:0007154,0.643440561,0.929964389,12.5481452,12,5909,cell communication,0.00609412,0.996019692
GO:0009889,0.655120867,0.911657559,8.566460946,8,4034,regulation of biosynthetic process,0.008717178,0.996019692
GO:0030154,0.660704041,0.906116057,8.604685115,8,4052,cell differentiation,0.008639902,0.996019692
GO:0051128,0.666378329,0.890376665,5.50852744,5,2594,regulation of cellular component organization,0.013176127,0.996019692
GO:0009892,0.681672294,0.877527455,6.6616232,6,3137,negative regulation of metabolic process,0.01081135,0.996019692
GO:0009966,0.682651305,0.876466546,6.667993895,6,3140,regulation of signal transduction,0.010790701,0.996019692
GO:0048869,0.683770315,0.883252427,8.76607605,8,4128,cellular developmental process,0.008324695,0.996019692
GO:0048518,0.686860959,0.890779907,12.87729776,12,6064,positive regulation of biological process,0.005786562,0.996019692
GO:0042221,0.718985782,0.848263398,9.025150972,8,4250,response to chemical,0.007853619,0.996019692
GO:0051641,0.719713887,0.842463343,7.980357024,7,3758,cellular localization,0.008789056,0.996019692
GO:0044249,0.746391287,0.833275902,12.34853009,11,5815,cellular biosynthetic process,0.005768342,0.996019692
GO:0051716,0.752887719,0.832368731,14.43387086,13,6797,cellular response to stimulus,0.004989609,0.996019692
GO:0033036,0.753785394,0.799232824,7.167031654,6,3375,macromolecule localization,0.009340313,0.996019692
GO:0007165,0.762706469,0.814014308,11.46300352,10,5398,signal transduction,0.00608544,0.996019692
GO:0065007,0.772893739,0.815349558,23.34434933,22,10993,biological regulation,0.003228107,0.996019692
GO:0048583,0.789195015,0.769180164,8.536731037,7,4020,regulation of response to stimulus,0.00768075,0.996019692
GO:0022607,0.807839509,0.72601561,6.500232265,5,3061,cellular component assembly,0.009462395,0.996019692
GO:0048522,0.809774994,0.766644469,11.90682859,10,5607,positive regulation of cellular process,0.005640227,0.996019692
GO:0009893,0.822607596,0.721502153,7.751012011,6,3650,positive regulation of metabolic process,0.007985889,0.996019692
GO:1901362,0.823045051,0.731619414,8.853142212,7,4169,organic cyclic compound biosynthetic process,0.007141542,0.996019692
GO:0080090,0.831133631,0.743946567,12.13192647,10,5713,regulation of primary metabolic process,0.00543287,0.996019692
GO:0050789,0.844516502,0.741488101,22.14241157,20,10427,regulation of biological process,0.003261887,0.996019692
GO:0031325,0.853165368,0.669520042,6.929192382,5,3263,positive regulation of cellular metabolic process,0.008327096,0.996019692
GO:1903506,0.859714969,0.660949616,6.999270025,5,3296,regulation of nucleic acid-templated transcription,0.008161187,0.996019692
GO:2001141,0.860298935,0.660179001,7.005640719,5,3299,regulation of RNA biosynthetic process,0.008146351,0.996019692
GO:0044085,0.860687194,0.659666037,7.009887849,5,3301,cellular component biogenesis,0.008136482,0.996019692
GO:0034654,0.879461076,0.650408251,8.375340102,6,3944,nucleobase-containing compound biosynthetic process,0.00683967,0.996019692
GO:0031326,0.881275377,0.647953718,8.398699316,6,3955,regulation of cellular biosynthetic process,0.006801677,0.996019692
GO:0006351,0.88196902,0.630703953,7.258344947,5,3418,"transcription, DNA-templated",0.007588984,0.996019692
GO:0019222,0.885493179,0.685544662,13.85413763,11,6524,regulation of metabolic process,0.004582711,0.996019692
GO:0097659,0.88862047,0.621252588,7.343287544,5,3458,nucleic acid-templated transcription,0.00741443,0.996019692
GO:0018130,0.889565126,0.636533174,8.509124693,6,4007,heterocycle biosynthetic process,0.006626288,0.996019692
GO:0019438,0.890337595,0.63545067,8.519742518,6,4012,aromatic compound biosynthetic process,0.006609782,0.996019692
GO:0032774,0.89039591,0.618691729,7.366646758,5,3469,RNA biosynthetic process,0.007367483,0.996019692
GO:0044238,0.891071206,0.688077007,20.8385427,18,9813,primary metabolic process,0.003314566,0.996019692
GO:0051252,0.905369533,0.596355547,7.576879687,5,3568,regulation of RNA metabolic process,0.006964309,0.996019692
GO:0050794,0.911399699,0.659479971,21.14433605,18,9957,regulation of cellular process,0.003219387,0.996019692
GO:0009059,0.919747428,0.605273339,10.11453978,7,4763,macromolecule biosynthetic process,0.005471351,0.996019692
GO:1901360,0.923432949,0.619526004,12.38038357,9,5830,organic cyclic compound metabolic process,0.004695298,0.996019692
GO:0006139,0.932739469,0.595048466,11.4821156,8,5407,nucleobase-containing compound metabolic process,0.004852158,0.996019692
GO:0010556,0.933773633,0.548964467,8.065299622,5,3798,regulation of macromolecule biosynthetic process,0.006146357,0.996019692
GO:0031323,0.935092536,0.600109886,12.62246997,9,5944,regulation of cellular metabolic process,0.004516922,0.996019692
GO:0019219,0.937695567,0.541682377,8.145995089,5,3836,regulation of nucleobase-containing compound metabolic process,0.006025187,0.996019692
GO:0051171,0.941939672,0.578497362,11.69022497,8,5505,regulation of nitrogen compound metabolic process,0.00468094,0.996019692
GO:0046483,0.947537321,0.56767931,11.83038025,8,5571,heterocycle metabolic process,0.004570686,0.996019692
GO:0008152,0.949999486,0.588760433,22.80284027,19,10738,metabolic process,0.002921894,0.996019692
GO:0006725,0.950243318,0.562205944,11.90258146,8,5605,cellular aromatic compound metabolic process,0.004515403,0.996019692
GO:0071704,0.950302368,0.591485997,21.90881943,18,10317,organic substance metabolic process,0.002998633,0.996019692
GO:0034645,0.960687053,0.512128847,9.931913199,6,4677,cellular macromolecule biosynthetic process,0.004863783,0.996019692
GO:0044271,0.960884694,0.511652019,9.938283894,6,4680,cellular nitrogen compound biosynthetic process,0.00485755,0.996019692
GO:0016043,0.965772414,0.536193048,13.49100803,9,6353,cellular component organization,0.003954053,0.996019692
GO:0090304,0.971286646,0.484120947,10.32052558,6,4860,nucleic acid metabolic process,0.004504395,0.996019692
GO:0044237,0.971947847,0.539905089,21.66460946,17,10202,cellular metabolic process,0.00289625,0.996019692
GO:0060255,0.972742871,0.507239085,12.67980622,8,5971,regulation of macromolecule metabolic process,0.003978813,0.996019692
GO:0010467,0.973769326,0.491976531,11.59678811,7,5461,gene expression,0.004162089,0.996019692
GO:0071840,0.975001705,0.509912298,13.88386754,9,6538,cellular component organization or biogenesis,0.003733451,0.996019692
GO:0016070,0.975643678,0.451156138,9.303337979,5,4381,RNA metabolic process,0.004619354,0.996019692
GO:0019538,0.978104549,0.477804176,11.81339173,7,5563,protein metabolic process,0.004010861,0.996019692
GO:0034641,0.979395186,0.485407819,13.01745305,8,6130,cellular nitrogen compound metabolic process,0.003775085,0.996019692
GO:0010468,0.981472275,0.430474693,9.615502024,5,4528,regulation of gene expression,0.004324291,0.996019692
