GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,enrichment,padj
GO:0050708,3.87E-05,16.65235081,0.404738204,5,321,regulation of protein secretion,0.860434196,0.003730678
GO:0002791,5.68E-05,15.31341108,0.438781605,5,348,regulation of peptide secretion,0.732098031,0.003730678
GO:0009306,0.00012774,12.81687675,0.520737939,5,413,protein secretion,0.519789645,0.003730678
GO:0035592,0.00012774,12.81687675,0.520737939,5,413,establishment of protein localization to extracellular region,0.519789645,0.003730678
GO:0071692,0.000135169,12.65738499,0.527042272,5,418,protein localization to extracellular region,0.507428859,0.003730678
GO:0002790,0.000183135,11.83106576,0.562346539,5,446,peptide secretion,0.44571578,0.004212098
GO:0010817,0.000363597,10.14090402,0.651868074,5,517,regulation of hormone levels,0.331700893,0.007168051
GO:1903530,0.000821984,8.411209508,0.779215608,5,618,regulation of secretion by cell,0.232140426,0.01406512
GO:0051223,0.000997102,8.041294643,0.813259009,5,645,regulation of protein transport,0.213112193,0.01406512
GO:0051046,0.0011133,7.836454704,0.833432875,5,661,regulation of secretion,0.202919979,0.01406512
GO:0070201,0.001175068,7.737736661,0.843519809,5,669,regulation of establishment of protein localization,0.198095902,0.01406512
GO:0090087,0.001223054,7.665245203,0.851085009,5,675,regulation of peptide transport,0.194589849,0.01406512
GO:0044283,0.00162114,7.170868347,0.906563143,5,719,small molecule biosynthetic process,0.171502299,0.017209025
GO:0071702,0.004245014,3.906600426,3.564470104,9,2827,organic substance transport,0.019968646,0.038573106
GO:0043066,0.004388258,5.628380528,1.138562612,5,903,negative regulation of apoptotic process,0.108730711,0.038573106
GO:0044070,0.004472244,5.601837187,1.143606079,5,907,regulation of anion transport,0.107773789,0.038573106
GO:0043069,0.004797605,5.50436205,1.162519079,5,922,negative regulation of programmed cell death,0.104295575,0.038945263
GO:0006820,0.005568599,3.722866894,3.705687172,9,2939,anion transport,0.018475707,0.042692595
GO:0032880,0.006686214,5.061203917,1.25708408,5,997,regulation of protein localization,0.089194363,0.04635043
GO:0071705,0.006769418,3.751227496,3.091645099,8,2452,nitrogen compound transport,0.023594283,0.04635043
GO:0009725,0.007268533,4.954121965,1.282301413,5,1017,response to hormone,0.085720722,0.04635043
GO:0060548,0.007389199,4.933211474,1.28734488,5,1021,negative regulation of cell death,0.085050377,0.04635043
GO:0008219,0.013431843,3.456780181,2.748689362,7,2180,cell death,0.026118172,0.080591058
GO:0010941,0.014576081,3.673076923,2.125821222,6,1686,regulation of cell death,0.03742776,0.083812467
GO:0065008,0.016015291,2.992501704,5.150640388,10,4085,regulation of biological quality,0.010626093,0.088404405
GO:0009719,0.017886653,3.494130016,2.22164709,6,1762,response to endogenous stimulus,0.034268663,0.094936849
GO:1901700,0.018694821,3.456202004,2.243081824,6,1779,response to oxygen-containing compound,0.033616855,0.095551308
GO:0043269,0.020598834,3.75218436,1.655517951,5,1313,regulation of ion transport,0.051427839,0.101522827
GO:0006811,0.021689076,2.867732962,4.544163514,9,3604,ion transport,0.01228657,0.103210086
GO:0044281,0.027483755,3.135641158,2.442298759,6,1937,small molecule metabolic process,0.028356311,0.126425274
GO:0006915,0.028509295,3.10608036,2.462472626,6,1953,apoptotic process,0.027893595,0.126912345
GO:0032940,0.031363868,3.32941407,1.844647953,5,1463,secretion by cell,0.041422764,0.134558807
GO:0055085,0.03345633,3.267267123,1.87616962,5,1488,transmembrane transport,0.040042563,0.134558807
GO:0012501,0.033814979,2.970355731,2.55955936,6,2030,programmed cell death,0.025817661,0.134558807
GO:0071495,0.034579386,3.235771581,1.892560887,5,1501,cellular response to endogenous stimulus,0.039351958,0.134558807
GO:0140352,0.035459694,3.211914248,1.905169553,5,1511,export from cell,0.038832808,0.134558807
GO:0042981,0.036264244,3.190711928,1.916517354,5,1520,regulation of apoptotic process,0.038374307,0.134558807
GO:0015031,0.037052425,2.898961706,2.613776628,6,2073,protein transport,0.024757704,0.134558807
GO:0032502,0.039032786,2.518692136,7.700112814,12,6107,developmental process,0.005705361,0.134981811
GO:0043067,0.039125163,3.119571244,1.955604221,5,1551,regulation of programmed cell death,0.036855655,0.134981811
GO:0015833,0.040164096,2.836730221,2.662950428,6,2112,peptide transport,0.023851799,0.13518647
GO:0042886,0.043015681,2.784327822,2.705819895,6,2146,amide transport,0.023101998,0.136595765
GO:0046903,0.043225637,3.027617848,2.008560621,5,1593,secretion,0.03493785,0.136595765
GO:0033036,0.043552273,2.523530524,4.255425045,8,3375,macromolecule localization,0.01245375,0.136595765
GO:0045184,0.045730225,2.737979662,2.744906762,6,2177,establishment of protein localization,0.022448747,0.140239357
GO:0007267,0.051201874,2.874967786,2.103125622,5,1668,cell-cell signaling,0.031866593,0.151987347
GO:0042127,0.051763807,2.865279205,2.109429956,5,1673,regulation of cell population proliferation,0.031676402,0.151987347
GO:0048856,0.059026311,2.274691358,7.162983609,11,5681,anatomical structure development,0.006043671,0.167497404
GO:0008104,0.059875536,2.412969283,3.703165439,7,2937,protein localization,0.014389572,0.167497404
GO:1901575,0.061098104,2.523486827,2.941601964,6,2333,organic substance catabolic process,0.019546972,0.167497404
GO:0051049,0.061901215,2.709029419,2.216603623,5,1758,regulation of transport,0.028687321,0.167497404
GO:0006810,0.069975747,2.182610028,6.414028801,10,5087,transport,0.006852267,0.183413721
GO:0051179,0.072113489,2.195397571,8.335589621,12,6611,localization,0.004868606,0.183413721
GO:0010647,0.073151529,2.567231463,2.323777291,5,1843,positive regulation of cell communication,0.026102197,0.183413721
GO:0023056,0.07412783,2.556136276,2.332603358,5,1850,positive regulation of signaling,0.02590504,0.183413721
GO:0044248,0.074428756,2.381750055,3.087862499,6,2449,cellular catabolic process,0.017739093,0.183413721
GO:0051234,0.080703725,2.107176461,6.564071936,10,5206,establishment of localization,0.006542585,0.195387967
GO:0031328,0.084760428,2.445255474,2.424646626,5,1923,positive regulation of cellular biosynthetic process,0.023975582,0.201003717
GO:0032268,0.086182238,2.278561675,3.203862234,6,2541,regulation of cellular protein metabolic process,0.016477816,0.201003717
GO:0009891,0.088745641,2.407774838,2.457429159,5,1949,positive regulation of biosynthetic process,0.023340172,0.201003717
GO:0042592,0.090149292,2.395033282,2.468776959,5,1958,homeostatic process,0.023126097,0.201003717
GO:0008283,0.090306018,2.393624799,2.470037826,5,1959,cell population proliferation,0.023102493,0.201003717
GO:0010033,0.106463886,2.051470588,4.210033844,7,3339,response to organic substance,0.011133275,0.230374081
GO:0051246,0.106840154,2.130309989,3.386687902,6,2686,regulation of protein metabolic process,0.014746772,0.230374081
GO:0048731,0.110685999,1.950978741,6.001725397,9,4760,system development,0.007043464,0.23499489
