GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0050708	3.86722858276369e-05	16.6523508137432	0.404738204260402	5	321	regulation of protein secretion	0.860434196096699	0.0037306776566186
GO:0002791	5.68385670592474e-05	15.3134110787172	0.438781604618754	5	348	regulation of peptide secretion	0.732098031444048	0.0037306776566186
GO:0009306	0.000127739915304712	12.8168767507003	0.520737938814785	5	413	protein secretion	0.519789645246205	0.0037306776566186
GO:0035592	0.000127739915304712	12.8168767507003	0.520737938814785	5	413	establishment of protein localization to extracellular region	0.519789645246205	0.0037306776566186
GO:0071692	0.000135169480312268	12.6573849878935	0.52704227221448	5	418	protein localization to extracellular region	0.507428859229413	0.0037306776566186
GO:0002790	0.000183134677332	11.8310657596372	0.562346539252771	5	446	peptide secretion	0.445715779525026	0.00421209757863601
GO:0010817	0.000363596787811876	10.1409040178571	0.651868073528436	5	517	regulation of hormone levels	0.331700893040866	0.00716805095971984
GO:1903530	0.000821983904039843	8.41120950827313	0.77921560820227	5	618	regulation of secretion by cell	0.232140425843885	0.014065120423344
GO:0051223	0.000997102425227551	8.04129464285714	0.813259008560621	5	645	regulation of protein transport	0.213112192776876	0.014065120423344
GO:0051046	0.0011132996143512	7.83645470383275	0.833432875439644	5	661	regulation of secretion	0.202919978668913	0.014065120423344
GO:0070201	0.0011750684352509	7.73773666092943	0.843519808879156	5	669	regulation of establishment of protein localization	0.198095902011122	0.014065120423344
GO:0090087	0.001223053949856	7.66524520255864	0.85108500895879	5	675	regulation of peptide transport	0.194589849108368	0.014065120423344
GO:0044283	0.00162114000132769	7.17086834733894	0.906563142876103	5	719	small molecule biosynthetic process	0.171502299012885	0.0172090246294785
GO:0071702	0.00424501448513689	3.90660042583392	3.5644701041874	9	2827	organic substance transport	0.0199686458675997	0.038573106395884
GO:0043066	0.00438825769060088	5.62838052815781	1.13856261198487	5	903	negative regulation of apoptotic process	0.108730710600447	0.038573106395884
GO:0044070	0.00447224421981263	5.60183718720304	1.14360607870463	5	907	regulation of anion transport	0.107773789307469	0.038573106395884
GO:0043069	0.00479760490964288	5.50436205016358	1.16251907890371	5	922	negative regulation of programmed cell death	0.104295575496069	0.0389452633841598
GO:0006820	0.00556859935827616	3.72286689419795	3.70568717234057	9	2939	anion transport	0.0184757067286614	0.0426925950801172
GO:0032880	0.00668621421383056	5.06120391705069	1.25708407989913	5	997	regulation of protein localization	0.089194363431317	0.0463504300670419
GO:0071705	0.00676941798562512	3.75122749590835	3.0916450992103	8	2452	nitrogen compound transport	0.0235942826576966	0.0463504300670419
GO:0009725	0.0072685334109949	4.95412196499153	1.28230141349791	5	1017	response to hormone	0.0857207221579268	0.0463504300670419
GO:0060548	0.00738919899619508	4.9332114735658	1.28734488021767	5	1021	negative regulation of cell death	0.0850503769517891	0.0463504300670419
GO:0008219	0.013431843041719	3.45678018100936	2.74868936226691	7	2180	cell death	0.0261181718710546	0.080591058250314
GO:0010941	0.0145760811484964	3.67307692307692	2.12582122237707	6	1686	regulation of cell death	0.0374277596957148	0.0838124666038542
GO:0065008	0.0160152908328264	2.99250170415815	5.1506403875506	10	4085	regulation of biological quality	0.0106260927146365	0.0884044053972015
GO:0009719	0.0178866527129795	3.49413001577011	2.22164709005243	6	1762	response to endogenous stimulus	0.034268663331448	0.0949368490150451
GO:1901700	0.0186948211524086	3.45620200442535	2.24308182361139	6	1779	response to oxygen-containing compound	0.0336168546855908	0.0955513081123107
GO:0043269	0.0205988344464346	3.75218435998253	1.65551795075984	5	1313	regulation of ion transport	0.0514278388996554	0.10152282691457
GO:0006811	0.0216890760428461	2.86773296244784	4.54416351449997	9	3604	ion transport	0.0122865702308817	0.103210085996992
GO:0044281	0.0274837551782609	3.13564115842728	2.44229875904174	6	1937	small molecule metabolic process	0.02835631104628	0.12642527382
GO:0006915	0.0285092949336676	3.10608036031765	2.46247262592076	6	1953	apoptotic process	0.0278935947138712	0.126912345188585
GO:0032940	0.0313638680691696	3.32941407015481	1.84464795275068	5	1463	secretion by cell	0.0414227640187276	0.13455880676174
GO:0055085	0.0334563300832965	3.26726712262788	1.87616961974915	5	1488	transmembrane transport	0.0400425627240143	0.13455880676174
GO:0012501	0.0338149794142865	2.9703557312253	2.55955936027606	6	2030	programmed cell death	0.0258176611905166	0.13455880676174
GO:0071495	0.0345793856766102	3.23577158135982	1.89256088658836	5	1501	cellular response to endogenous stimulus	0.0393519576777818	0.13455880676174
GO:0140352	0.0354596943545187	3.21191424777082	1.90516955338775	5	1511	export from cell	0.0388328082480079	0.13455880676174
GO:0042981	0.0362642444767702	3.19071192833569	1.9165173535072	5	1520	regulation of apoptotic process	0.0383743074792244	0.13455880676174
GO:0015031	0.0370524250503342	2.89896170592832	2.61377662751344	6	2073	protein transport	0.0247577041459939	0.13455880676174
GO:0032502	0.039032786126295	2.51869213641158	7.70011281438715	12	6107	developmental process	0.0057053609945814	0.134981811100176
GO:0043067	0.0391251626377322	3.11957124376271	1.95560422058531	5	1551	regulation of programmed cell death	0.0368556547823184	0.134981811100176
GO:0015833	0.040164096019343	2.83673022134561	2.66295042803106	6	2112	peptide transport	0.0238517992424242	0.13518646952852
GO:0042886	0.0430156808137717	2.784327821711	2.70581989514898	6	2146	amide transport	0.0231019977782198	0.136595764564304
GO:0046903	0.0432256370163612	3.02761784814682	2.00856062114274	5	1593	secretion	0.0349378499548204	0.136595764564304
GO:0033036	0.0435522727596331	2.52353052353052	4.25542504479395	8	3375	macromolecule localization	0.0124537503429355	0.136595764564304
GO:0045184	0.0457302252693778	2.73797966197782	2.74490676222709	6	2177	establishment of protein localization	0.0224487474914698	0.140239357492759
GO:0007267	0.0512018735375052	2.87496778627266	2.10312562213816	5	1668	cell-cell signaling	0.0318665930564901	0.151987347038352
GO:0042127	0.0517638066000184	2.86527920520726	2.10942995553786	5	1673	regulation of cell population proliferation	0.031676401938027	0.151987347038352
GO:0048856	0.0590263107947961	2.27469135802469	7.16298360873316	11	5681	anatomical structure development	0.00604367120398518	0.167497404246739
GO:0008104	0.0598755360839859	2.41296928327645	3.70316543898069	7	2937	protein localization	0.0143895717686906	0.167497404246739
GO:1901575	0.0610981042480148	2.52348682688176	2.94160196429756	6	2333	organic substance catabolic process	0.0195469722053858	0.167497404246739
GO:0051049	0.0619012146129254	2.70902941895526	2.21660362333267	5	1758	regulation of transport	0.0286873205020184	0.167497404246739
GO:0006810	0.0699757468948833	2.18261002779419	6.41402880084943	10	5087	transport	0.00685226653245519	0.183413721142614
GO:0051179	0.0721134893534958	2.19539757106055	8.33558962107638	12	6611	localization	0.00486860627336429	0.183413721142614
GO:0010647	0.0731515294545704	2.56723146277009	2.32377729112748	5	1843	positive regulation of cell communication	0.0261021966061256	0.183413721142614
