"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"CC","GO:0044391","ribosomal subunit",160,0.837156116580049,2.16625127920188,1.5391859705806e-08,0.000113345654873555,0.000110821389881803,1221,"tags=44%, list=10%, signal=41%","RPLP0/RPL37/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/EIF2A/RPS5/RPLP1/RPS18/RPS3A/RPL24/RPL36A/MRPL4/RPS28/RPS10/RPL22/RPL36/RPL7/RPS29/RPL18/RPS24/RPL27/RPLP2"
"MF","GO:0003735","structural constituent of ribosome",142,0.844876810529283,2.16699785001951,4.60104831226629e-08,0.000168249733969209,0.000164502727400639,1221,"tags=49%, list=10%, signal=45%","RPLP0/RPL37/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/RPS5/RPLP1/RPS18/RPS3A/RPL24/RPL36A/MRPL4/RPS28/RPS10/RPL22/RPL36/RPL7/RPS29/RPL18/RPS24/RPL27/RPLP2"
"BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",113,0.871992890594594,2.19041988816113,6.85428030835994e-08,0.000168249733969209,0.000164502727400639,1221,"tags=66%, list=10%, signal=61%","RPLP0/RPL37/HELZ2/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/SMG7/RPL23/RPS8/RPL31/NBAS/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/RPS5/RPLP1/RPS18/RPS3A/RPL24/PABPC1/UPF1/RPL36A/RPS28/RPS10/RPL22/RPL36/RPL7/RPS29/RPL18/SMG1/RPS24/RPL27/RPLP2"
"BP","GO:0006413","translational initiation",171,0.806842282187039,2.11525652529317,4.05552545111552e-07,0.000746622235550368,0.000729994581200794,1483,"tags=52%, list=12%, signal=47%","EIF3H/RPLP0/RPL37/RPS11/RPL21/EIF3C/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/EIF2AK3/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/CSDE1/EIF3B/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/HSPB1/RPL8/RPS25/RPS15/EIF3A/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/EIF2S3/RPS17/RPL18A/RPL6/UBA52/EIF2A/RPS5/RPLP1/RPS18/RPS3A/RPL24/EIF2S1/PABPC1/RPL36A/RPS28/RPS10/RPL22/RPL36/RPL7/RPS29/EIF4A1/RPL18/DDX1/RPS24/RPL27/RPLP2/EIF3M/KHDRBS1/RPL35A/RPL32/EIF4G1/MTIF2/RPS6KB2"
"BP","GO:0045047","protein targeting to ER",102,0.863754269861911,2.12798562875758,1.44501172882873e-06,0.00195399679533623,0.00191048029962261,1273,"tags=69%, list=10%, signal=62%","RPLP0/RPL37/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/RPS5/RPLP1/RPS18/RPS3A/RPL24/RPL36A/RPS28/RPS10/RPL22/RPL36/RPL7/RPS29/RPL18/RPS24/RPL27/RPLP2/SEC61A1"
"BP","GO:0070972","protein localization to endoplasmic reticulum",129,0.829869560143768,2.09893179918419,1.59206691635217e-06,0.00195399679533623,0.00191048029962261,1273,"tags=58%, list=10%, signal=53%","RPLP0/RPL37/RYR2/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/LRRK2/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/RAB3GAP2/RPS5/RPLP1/RPS18/RPS3A/RPL24/RPL36A/SEC16A/RPS28/RPS10/RPL22/SEC16B/RPL36/RPL7/RPS29/RPL18/RPS24/RPL27/RPLP2/SEC61A1"
"CC","GO:0022626","cytosolic ribosome",89,0.878840247247677,2.11607302451861,3.04820345099122e-06,0.00320671003044277,0.0031352949781624,1221,"tags=81%, list=10%, signal=74%","RPLP0/RPL37/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/PPARGC1A/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/EIF2A/RPS5/RPLP1/RPS18/RPS3A/RPL24/RPL36A/RPS28/RPS10/RPL22/RPL36/APOD/RPL7/RPS29/RPL18/RPS24/RPL27/RPLP2"
"BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane",89,0.874535301111665,2.10570756797637,4.54792465447409e-06,0.0041863646444434,0.00409313218902668,1273,"tags=79%, list=10%, signal=71%","RPLP0/RPL37/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/RPS5/RPLP1/RPS18/RPS3A/RPL24/RPL36A/RPS28/RPS10/RPL22/RPL36/RPL7/RPS29/RPL18/RPS24/RPL27/RPLP2/SEC61A1"
"BP","GO:0072599","establishment of protein localization to endoplasmic reticulum",106,0.855974936382847,2.10838738938717,6.31193494745137e-06,0.00516456543922576,0.00504954795796109,1273,"tags=68%, list=10%, signal=62%","RPLP0/RPL37/RYR2/RPS11/RPL21/RPS21/RPS19/RPS9/RPS27A/RPS16/RPS20/RPS23/RPL28/RPL13/RPL13A/RPS26/RPS13/RPL12/RPL11/RPS2/RPL14/RPL23/RPS8/RPL31/RPL27A/RPS3/RPL7A/RPS14/RPL10A/RPS6/RPL15/RPL30/RPS12/RPSA/RPL8/RPS25/RPS15/RPL39/RPL29/RPL4/RPL9/RPL35/RPL37A/RPL10/RPS15A/RPS7/RPL3/RPL26/RPS4X/RPL23A/RPS17/RPL18A/RPL6/UBA52/RAB3GAP2/RPS5/RPLP1/RPS18/RPS3A/RPL24/RPL36A/RPS28/RPS10/RPL22/RPL36/RPL7/RPS29/RPL18/RPS24/RPL27/RPLP2/SEC61A1"
"CC","GO:0098797","plasma membrane protein complex",438,-0.597970951799882,-1.69545815731461,7.23433097942258e-06,0.00532736133324679,0.00520871830518426,1573,"tags=19%, list=12%, signal=17%","ITGA6/KCNF1/RAMP2/NCF1/GNB3/IL6ST/C7/KCNIP1/ATP6AP1/EFCAB7/APBB1IP/ITGA10/PGM5/KCNB2/CHRNA1/PSEN2/SGCZ/GJD2/GNAI1/VTN/DLG2/GNAQ/CDH18/OLFM2/MR1/CACNA1S/AMIGO1/ATP1A1/SLC7A5/KCNAB2/LRRC52/GRIK4/SMAD7/ADAM8/GJA8/CDH13/HLA-A/GRID2/CYBA/KCNIP3/CDH4/CTTN/TFRC/SLC9A3R1/B2M/SSPN/SCN8A/TRAF2/HLA-G/GNAZ/GRIN1/GRIK2/HLA-DPA1/SNAP25/TLR1/CHRNA9/CORO1C/IL2RB/KCNIP2/GRIA2/SKAP1/GNAT2/CD6/ZAP70/SHISA9/ATP1B4/CNIH2/GNG3/SYK/ITGB2/DMD/HLA-DPB1/ITGB3/CACNA2D3/CD3E/KCNJ2/CSF2RB/CD3D/HSPG2/ABHD6/GRIN2C/CNTFR"
