GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,enrichment,padj
GO:0036503,3.90E-08,18.98811545,0.509720749,8,103,ERAD pathway,12.38646432,1.13E-05
GO:0034976,2.47E-07,8.831265653,1.494521032,11,302,response to endoplasmic reticulum stress,1.981119249,3.57E-05
GO:0030433,3.30E-06,17.04301948,0.410745847,6,83,ubiquitin-dependent ERAD pathway,14.30628538,0.000318106
GO:0035966,9.49E-06,8.773561037,1.04913397,8,212,response to topologically incorrect protein,2.923816305,0.000660517
GO:0043413,1.37E-05,8.31807952,1.103570166,8,223,macromolecule glycosylation,2.642482254,0.000660517
GO:0006486,1.37E-05,8.31807952,1.103570166,8,223,protein glycosylation,2.642482254,0.000660517
GO:0070085,1.94E-05,7.906936911,1.158006363,8,234,glycosylation,2.399883118,0.000801946
GO:0006487,3.61E-05,15.17226436,0.376104631,5,76,protein N-linked glycosylation,14.21918283,0.001172919
GO:0010498,3.65E-05,5.093544317,2.513962531,11,508,proteasomal protein catabolic process,0.70015965,0.001172919
GO:0006986,4.14E-05,8.434729812,0.940261577,7,190,response to unfolded protein,3.185096953,0.001197755
GO:0051603,6.96E-05,4.115756238,3.721456345,13,752,proteolysis involved in cellular protein catabolic process,0.377606524,0.001827622
GO:0009100,7.77E-05,5.653127576,1.816189466,9,367,glycoprotein metabolic process,1.097595201,0.001871977
GO:0009101,0.000117755,6.048277375,1.494521032,8,302,glycoprotein biosynthetic process,1.440813999,0.00261778
GO:0044257,0.000182876,3.710687762,4.097560976,13,828,cellular protein catabolic process,0.311468762,0.003775083
GO:0035967,0.00019767,7.903409091,0.846235419,6,171,cellular response to topologically incorrect protein,3.370472966,0.003808448
GO:0006511,0.000331953,3.907401042,3.226581831,11,652,ubiquitin-dependent protein catabolic process,0.42503952,0.005724256
GO:0019941,0.000349722,3.882012876,3.246376812,11,656,modification-dependent protein catabolic process,0.419871914,0.005724256
GO:0030163,0.000356528,3.28998994,4.988335101,14,1008,protein catabolic process,0.226328263,0.005724256
GO:0043161,0.000394637,4.498184619,2.256627784,9,456,proteasome-mediated ubiquitin-dependent protein catabolic process,0.710959141,0.005894581
GO:0043632,0.00040793,3.807703222,3.305761753,11,668,modification-dependent macromolecule catabolic process,0.404922192,0.005894581
GO:0030968,0.000541238,8.25147929,0.668080594,5,135,endoplasmic reticulum unfolded protein response,4.506447188,0.007448466
GO:0006457,0.000704192,6.159952607,1.073877695,6,217,protein folding,2.092972881,0.009250527
GO:0006811,0.000836372,2.268912465,16.6970661,29,3374,ion transport,0.041844623,0.010509194
GO:0034620,0.000898725,7.338777661,0.747260516,5,151,cellular response to unfolded protein,3.602034998,0.010822152
GO:1901137,0.001038925,3.604769561,3.127606928,10,632,carbohydrate derivative biosynthetic process,0.411242189,0.011921009
GO:1901565,0.001072478,2.725711218,6.908448215,16,1396,organonitrogen compound catabolic process,0.13485932,0.011921009
GO:0051234,0.001122536,2.146764811,24.08059385,37,4866,establishment of localization,0.025667841,0.012015292
