Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ddx56,487.9491797,-0.283596602,0.306538821,-0.925157216,0.354884134,0.940136495
hpdl,92.3672262,0.185490683,0.666408723,0.27834372,0.780748518,0.986806733
slc7a2,4710.99021,-0.532843196,0.390656892,-1.363967222,0.172577882,0.843540421
krt222,4.525588929,0.049667341,0.766181011,0.064824552,0.948313693,0.999325151
tsc22d1,769.43815,-0.478058042,0.37266745,-1.282800635,0.199561932,0.858006993
masp2,2361.478491,-0.320248979,0.262991627,-1.217715493,0.223332108,0.876421941
nrp1,724.7793126,0.09654598,0.6545893,0.147490923,0.882744544,0.99821504
krtcap2,1810.719169,-0.043870235,0.285995355,-0.153394921,0.87808685,0.99821504
r3hdm4,263.4323502,-0.089626218,0.278062385,-0.322324137,0.747207149,0.983960124
atp5d,2950.541583,0.101808482,0.231701976,0.439394105,0.660375997,0.98068425
kdelc1,848.131851,-0.596231077,0.263089059,-2.266270896,0.023434802,0.49821648
LOC107373204,34.69996395,0.281237858,0.424087334,0.66316024,0.507227933,0.963051255
LOC107372770,11.67201294,0.41848656,0.636243285,0.657746133,0.510701273,0.963051255
LOC107376118,319.3542092,-0.110884184,0.300555038,-0.368931378,0.712178875,0.981697321
wwc3,18.7279882,1.256442109,0.616468136,2.03812985,0.041536949,0.585479471
rfx5,19.39529836,0.681154861,0.48740361,1.397517061,0.16225814,0.829821693
LOC107376996,1.110180143,-0.105365714,1.294834309,-0.081373897,0.935144607,NA
usp49,242.9860754,-0.204108628,0.345107197,-0.591435443,0.554228699,0.967040972
fitm1,1.322893251,-0.105409116,1.293346251,-0.08150108,0.935043466,NA
ntpcr,183.9244245,0.047001763,0.32760095,0.143472611,0.885916941,0.998352666
LOC107394884,325.7589153,-0.516217911,0.357880085,-1.442432629,0.149180365,0.812149307
runx1t1,21.2234831,0.312626958,0.560468568,0.557795701,0.576983898,0.968452343
LOC107388460,5.681149795,-0.344381028,0.973007643,-0.353934556,0.723387929,0.981697321
LOC107389913,1.835567262,0.217885835,1.013278223,0.215030611,0.829743453,NA
LOC107379419,12.98317593,0.019538312,1.087136205,0.017972276,0.98566097,0.999497929
syt5,1.377364592,1.257263334,1.200167039,1.047573624,0.294835095,NA
tada1,307.5010846,-0.042073434,0.27464858,-0.153190065,0.878248392,0.99821504
dusp19,13.39244475,-0.340658511,0.537389174,-0.633913982,0.52613696,0.963051255
LOC107381334,24.62538994,-0.398909765,0.773695179,-0.515590346,0.606140555,0.973087028
