Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ddx56,487.9491797,-0.609706539,0.306349163,-1.990234059,0.046565158,0.20742171
hpdl,92.3672262,0.234486837,0.666994745,0.351557248,0.725170332,0.893722766
slc7a2,4710.99021,2.376917694,0.39120949,6.075818091,1.23E-09,1.03E-07
krt222,4.525588929,-0.185083759,0.762145715,-0.242845633,0.808124984,0.928736183
tsc22d1,769.43815,0.240762662,0.373244601,0.645053302,0.518892644,0.782260278
masp2,2361.478491,1.059786799,0.263519139,4.02166918,5.78E-05,0.001346145
nrp1,724.7793126,1.1078316,0.655339574,1.690469558,0.090938157,0.313538201
krtcap2,1810.719169,-1.350978629,0.285589567,-4.730490138,2.24E-06,8.55E-05
r3hdm4,263.4323502,-0.313361031,0.277883901,-1.127668893,0.25945978,0.565143505
atp5d,2950.541583,0.299966853,0.231798669,1.294083585,0.195636551,0.489630321
kdelc1,848.131851,0.350777963,0.263997823,1.328715365,0.183941894,0.474359008
LOC107373204,34.69996395,-0.459966388,0.416274982,-1.104958039,0.269177771,0.576356364
LOC107372770,11.67201294,0.425751706,0.640732873,0.66447614,0.506385615,0.774958248
LOC107376118,319.3542092,0.261860577,0.301597329,0.868245678,0.385259853,0.686793388
wwc3,18.7279882,0.317280478,0.601526494,0.527458858,0.59787498,0.827711441
rfx5,19.39529836,1.107472182,0.500700362,2.21184618,0.026977295,0.144808701
LOC107376996,1.110180143,-0.238136268,1.294834278,-0.183912546,0.854082063,NA
usp49,242.9860754,-0.003946883,0.345887899,-0.011410875,0.990895637,0.997053754
fitm1,1.322893251,-0.847982831,1.222395572,-0.693705745,0.487866762,NA
ntpcr,183.9244245,-0.498954877,0.326406698,-1.528629406,0.126356342,0.382394193
LOC107394884,325.7589153,0.235820264,0.359370803,0.65620318,0.511693403,0.777480758
runx1t1,21.2234831,-1.246099059,0.537915332,-2.31653382,0.02052914,0.120677604
LOC107388460,5.681149795,-0.652784676,0.964640754,-0.676712728,0.49858824,0.769632853
LOC107389913,1.835567262,0.476917297,1.052917624,0.452948347,0.650585936,NA
LOC107379419,12.98317593,-1.573734002,1.059380903,-1.485522344,0.137405509,0.402232656
syt5,1.377364592,1.123504409,1.200167056,0.936123353,0.34920968,NA
tada1,307.5010846,-0.192298568,0.274651123,-0.700155767,0.483830032,0.760545721
dusp19,13.39244475,0.330138928,0.558449006,0.591171127,0.554405767,0.803121484
LOC107381334,24.62538994,-0.334661416,0.775876654,-0.431333273,0.666226061,0.864143191
LOC107395600,3.728830411,-0.805023381,0.828622121,-0.971520505,0.331289147,0.639218839
LOC107395424,5.979324411,-3.450500321,1.139506885,-3.028064478,0.002461256,0.026198263
