GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0019752	4.44641163471272e-07	3.54602291736367	8.78388123011665	26	1002	carboxylic acid metabolic process	0.425372807279652	0.000162287229074692
GO:0043436	7.53040013256591e-07	3.43973087242865	9.02933898904206	26	1030	oxoacid metabolic process	0.402560090489207	0.000162287229074692
GO:0032787	9.29125357297857e-07	4.07406280428432	5.71565924354896	20	652	monocarboxylic acid metabolic process	0.772799126801912	0.000162287229074692
GO:0006082	1.49121688637272e-06	3.30461436013945	9.36246023329799	26	1068	organic acid metabolic process	0.374423122781916	0.000195349412114826
GO:0016053	2.3460477235497e-06	5.58461586586587	2.63867090844821	13	301	organic acid biosynthetic process	2.35690555291884	0.000245865801428008
GO:0008610	4.24118131193449e-06	3.65961538461538	6.31177094379639	20	720	lipid biosynthetic process	0.633719135802469	0.000348742092355383
GO:0044273	4.65876840932764e-06	16.152157164869	0.438317426652527	6	50	sulfur compound catabolic process	39.4224	0.000348742092355383
GO:0034308	8.02418693009519e-06	10.977845254161	0.727606928243196	7	83	primary alcohol metabolic process	16.6906662795761	0.000480481580932445
GO:0044283	8.25254623738932e-06	3.61147412627233	6.03124779073878	19	688	small molecule biosynthetic process	0.659338662790698	0.000480481580932445
GO:0046394	1.07584510012798e-05	5.20116102978294	2.58607281724991	12	295	carboxylic acid biosynthetic process	2.26500430910658	0.000563742832467063
GO:0044281	1.511549785887e-05	2.54058157330885	16.2089784376105	34	1849	small molecule metabolic process	0.163356685574855	0.000709955749104682
GO:1901615	1.62585286054507e-05	3.87740453631926	4.66369741958289	16	532	organic hydroxy compound metabolic process	0.928599694725536	0.000709955749104682
GO:0042445	3.90896619129072e-05	6.08632144601856	1.63930717568045	9	187	hormone metabolic process	4.22757299322257	0.00152073649349301
GO:0006633	4.0630364329966e-05	6.98917694437453	1.27112053729233	8	145	fatty acid biosynthetic process	6.25008323424495	0.00152073649349301
GO:0044272	4.80334333060631e-05	5.91789023521026	1.68313891834571	9	192	sulfur compound biosynthetic process	4.01025390625	0.00167796793682514
GO:0006790	7.37658928246565e-05	4.22210786331824	3.14711912336515	12	359	sulfur compound metabolic process	1.52941085187111	0.00227904331356956
GO:0072330	7.39384281119897e-05	5.57790228597042	1.77956875220926	9	203	monocarboxylic acid biosynthetic process	3.58742022373753	0.00227904331356956
GO:0044255	8.42815544033896e-05	2.77554740986404	9.05563803464122	22	1033	cellular lipid metabolic process	0.338652164908457	0.00245352969485423
GO:0043062	0.000103386479494535	4.06577380952381	3.2610816542948	12	372	extracellular structure organization	1.42438432188692	0.0025870720749143
GO:0030198	0.000103386479494535	4.06577380952381	3.2610816542948	12	372	extracellular matrix organization	1.42438432188692	0.0025870720749143
GO:0042493	0.000103680369414504	3.8113496271391	3.77829621774479	13	431	response to drug	1.14953084877881	0.0025870720749143
GO:0045229	0.000108748872701056	4.04271902131018	3.2786143513609	12	374	external encapsulating structure organization	1.40919099774086	0.00259020042251607
GO:0044282	0.000124554666182628	3.73757560377279	3.84842700600919	13	439	small molecule catabolic process	1.10801625147234	0.00281590319144211
GO:0006629	0.000128972665256891	2.48810404991012	12.0712619300106	26	1377	lipid metabolic process	0.225235730269407	0.00281590319144211
GO:0033559	0.00014585756875254	8.33659022931206	0.7977377165076	6	91	unsaturated fatty acid metabolic process	11.9014611761864	0.00305717464105323
GO:0051604	0.000166469684941776	4.50150562974601	2.43704489218805	10	278	protein maturation	2.12540758759899	0.0033550044195958
GO:0120254	0.000174402841216152	8.05065485362096	0.824036762106751	6	94	olefinic compound metabolic process	11.1539157990041	0.00338470699249125
GO:0016101	0.000207193283740726	7.78357235984355	0.850335807705903	6	97	diterpenoid metabolic process	10.4746519290041	0.00387747431000502
