GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0036503	3.90330448688576e-08	18.9881154499151	0.509720749381407	8	103	ERAD pathway	12.3864643227448	1.12805499670998e-05
GO:0034976	2.47298062718606e-07	8.83126565321218	1.49452103216684	11	302	response to endoplasmic reticulum stress	1.98111924915574	3.57345700628386e-05
GO:0030433	3.30213978003889e-06	17.0430194805195	0.410745846588901	6	83	ubiquitin-dependent ERAD pathway	14.3062853824938	0.000318106132143747
GO:0035966	9.48832298377384e-06	8.77356103731815	1.04913396960057	8	212	response to topologically incorrect protein	2.92381630473478	0.000660517424807459
GO:0043413	1.37131645288746e-05	8.31807951987997	1.10357016613644	8	223	macromolecule glycosylation	2.64248225381568	0.000660517424807459
GO:0006486	1.37131645288746e-05	8.31807951987997	1.10357016613644	8	223	protein glycosylation	2.64248225381568	0.000660517424807459
GO:0070085	1.94243053037011e-05	7.90693691121896	1.15800636267232	8	234	glycosylation	2.39988311783184	0.000801946318967088
GO:0006487	3.61256667618273e-05	15.1722643553629	0.376104630611523	5	76	protein N-linked glycosylation	14.2191828254848	0.00117291935650177
GO:0010498	3.65269003754877e-05	5.09354431674795	2.51396253092966	11	508	proteasomal protein catabolic process	0.700159650319301	0.00117291935650177
GO:0006986	4.14447986981727e-05	8.43472981177899	0.940261576528809	7	190	response to unfolded protein	3.18509695290859	0.00119775468237719
GO:0051603	6.95634681519326e-05	4.11575623768488	3.72145634499823	13	752	proteolysis involved in cellular protein catabolic process	0.37760652444545	0.00182762202690077
GO:0009100	7.77291626042243e-05	5.65312757578533	1.81618946624249	9	367	glycoprotein metabolic process	1.09759520079591	0.0018719773327184
GO:0009101	0.000117754799697966	6.04827737546632	1.49452103216684	8	302	glycoprotein biosynthetic process	1.44081399938599	0.00261777977790094
GO:0044257	0.000182876011317504	3.71068776235066	4.09756097560976	13	828	cellular protein catabolic process	0.311468762398189	0.00377508337648276
GO:0035967	0.000197670286898134	7.90340909090909	0.846235418875928	6	171	cellular response to topologically incorrect protein	3.37047296604083	0.00380844752757071
GO:0006511	0.000331952905776437	3.90740104180438	3.2265818310357	11	652	ubiquitin-dependent protein catabolic process	0.425039519741052	0.00572425567245607
GO:0019941	0.000349722013437208	3.88201287610038	3.2463768115942	11	656	modification-dependent protein catabolic process	0.419871914039262	0.00572425567245607
GO:0030163	0.000356528034962662	3.28998993963783	4.98833510074231	14	1008	protein catabolic process	0.226328262786596	0.00572425567245607
GO:0043161	0.000394636689798472	4.49818461876994	2.25662778366914	9	456	proteasome-mediated ubiquitin-dependent protein catabolic process	0.710959141274238	0.0058945814267428
GO:0043632	0.000407929510501232	3.80770322214483	3.30576175326971	11	668	modification-dependent macromolecule catabolic process	0.404922191545054	0.0058945814267428
GO:0030968	0.000541237990133741	8.25147928994083	0.668080593849417	5	135	endoplasmic reticulum unfolded protein response	4.50644718792867	0.00744846567374529
GO:0006457	0.000704192362070767	6.15995260663507	1.07387769529869	6	217	protein folding	2.09297288113997	0.00925052693811143
GO:0006811	0.000836371851397353	2.2689124649094	16.6970661010958	29	3374	ion transport	0.0418446230440318	0.0105091941327754
GO:0034620	0.000898725452233011	7.33877766069547	0.747260516083422	5	151	cellular response to unfolded protein	3.60203499846498	0.0108221523206392
GO:1901137	0.00103892547526494	3.60476956055734	3.1276069282432	10	632	carbohydrate derivative biosynthetic process	0.411242188751803	0.0119210093436479
GO:1901565	0.00107247834925552	2.72571121846484	6.90844821491693	16	1396	organonitrogen compound catabolic process	0.134859319710019	0.0119210093436479
GO:0051234	0.00112253590521983	2.14676481108455	24.0805938494168	37	4866	establishment of localization	0.0256678405855641	0.0120152917262419
GO:0006820	0.00126234937759349	2.27552498189718	13.7921527041357	25	2787	anion transport	0.0528686096926771	0.0130292489330185
GO:0006810	0.00154786270141266	2.09924834523765	23.5312831389183	36	4755	transport	0.0261537083660898	0.0154252524382159
GO:0071702	0.00179916451807698	2.23172103487064	13.3170731707317	24	2691	organic substance transport	0.0544396926540303	0.0173319515241416
GO:0045184	0.00518733921812976	2.1581592096298	10.3478260869565	19	2091	establishment of protein localization	0.0713801331616152	0.0483593881948226
GO:0055085	0.00570876381428929	2.38576779026217	6.67585719335454	14	1349	transmembrane transport	0.126367663277468	0.0495301624068702
GO:1903050	0.00579292088169591	4.69264656048797	1.14810887239307	5	232	regulation of proteolysis involved in cellular protein catabolic process	1.52589922711058	0.0495301624068702
GO:0010243	0.00582707793022003	2.54813558216162	5.29020855425946	12	1069	response to organonitrogen compound	0.172487510511822	0.0495301624068702
