GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0015850	8.486697622384e-05	13.0121116377041	0.458690025880948	5	216	organic hydroxy compound transport	1.9002914951989	0.0112024408615469
GO:0046486	0.000328926256536189	7.54967230079338	0.959851350454576	6	452	glycerolipid metabolic process	0.520753387109406	0.0217091329313885
GO:0006650	0.000852209993821747	7.74823256304738	0.75598911672971	5	356	glycerophospholipid metabolic process	0.699564448933215	0.0374972397281569
GO:0006644	0.00215699909335211	6.23101211810889	0.932245006304333	5	439	phospholipid metabolic process	0.460043274993384	0.0537242342339404
GO:0098916	0.00271926369597856	4.92536289861699	1.4419005906165	6	679	anterograde trans-synaptic signaling	0.230764725913747	0.0537242342339404
GO:0007268	0.00271926369597856	4.92536289861699	1.4419005906165	6	679	chemical synaptic transmission	0.230764725913747	0.0537242342339404
GO:0099537	0.00292522244380987	4.84987048091001	1.46313623996284	6	689	trans-synaptic signaling	0.224114795848509	0.0537242342339404
GO:0099536	0.00325601419599639	4.74068767908309	1.49498971398235	6	704	synaptic signaling	0.214666193181818	0.0537242342339404
GO:0008610	0.00462427206348341	4.396	1.60541509058332	6	756	lipid biosynthetic process	0.186151003611321	0.0678226569310901
GO:0044255	0.00656616380799361	3.64391425908667	2.29345012940474	7	1080	cellular lipid metabolic process	0.106416323731139	0.0866733622655157
GO:0055085	0.0107832777127224	3.05337837837838	3.15986462273542	8	1488	transmembrane transport	0.0640681003584229	0.129399332552669
GO:0034220	0.0134396706869782	3.14305691056911	2.62684982414228	7	1237	ion transmembrane transport	0.0811178373107807	0.141179642157384
GO:1905114	0.0139040556670151	3.90985838779956	1.4546419802243	5	685	cell surface receptor signaling pathway involved in cell-cell signaling	0.188949864137674	0.141179642157384
GO:0042592	0.0177374656329322	2.62770205456533	4.1579401420134	9	1958	homeostatic process	0.041626975473712	0.167238961681932
GO:0007267	0.02055814732938	2.68614457831325	3.54210631096954	8	1668	cell-cell signaling	0.0509865488903841	0.180911696498544
GO:0006812	0.0236687524793274	3.01836646499568	2.28070873979693	6	1074	cation transport	0.0922359893053692	0.187690813670461
GO:0019637	0.0252520351838512	2.97040874254896	2.31468577875108	6	1090	organophosphate metabolic process	0.0895480178436159	0.187690813670461
GO:0055082	0.0255942018641538	3.31309324399777	1.70097551264185	5	801	cellular chemical homeostasis	0.138185570159647	0.187690813670461
GO:0006629	0.0291068954469855	2.6499652052888	3.06642776561152	7	1444	lipid metabolic process	0.0595280116021209	0.202216326263268
