GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0044281	1.53068159840823e-23	3.14411185704911	57.072665737607	136	1937	small molecule metabolic process	0.642743050382346	2.11693265059858e-20
GO:0006082	1.81962415308704e-22	3.7068454913708	32.6760899860641	96	1109	organic acid metabolic process	1.38409488397658	1.25827010185969e-19
GO:0043436	6.39765417634477e-22	3.70940170940171	31.4680469838742	93	1068	oxoacid metabolic process	1.44576652779531	2.94931857529494e-19
GO:0019752	1.22873030428292e-21	3.72339668133453	30.5841130798328	91	1038	carboxylic acid metabolic process	1.49762957517978	4.24833502705818e-19
GO:0044282	1.64921139318918e-20	5.19779944986247	13.5536531953016	57	460	small molecule catabolic process	4.77657844990548	4.56171871356128e-18
GO:0046395	8.32577388670316e-19	6.51017639077341	8.04379852677683	42	273	carboxylic acid catabolic process	9.99267399267399	1.91909088088508e-16
GO:0032787	1.11602249070031e-18	4.09015954319165	19.9179773043998	67	676	monocarboxylic acid metabolic process	2.59979517523896	2.20494157805504e-16
GO:0016054	8.19827325130502e-18	6.05675252768416	8.54469440573363	42	290	organic acid catabolic process	8.85545778834721	1.41727648831936e-15
GO:0009063	9.12451898720516e-17	10.117428637735	3.53573561616564	27	120	cellular amino acid catabolic process	33.2475	1.40213441770053e-14
GO:0044283	1.46952981602038e-15	3.59212535154681	21.1849492335258	64	719	small molecule biosynthetic process	2.19522942736493	2.03235973555618e-13
GO:1901606	5.66648181904342e-14	10.1137440758294	2.85805295640056	22	97	alpha-amino acid catabolic process	41.4607290891699	7.12431305067004e-12
GO:1901605	9.75774793470023e-12	5.55769230769231	5.98128608401354	28	203	alpha-amino acid metabolic process	12.0482418889078	1.1245804494742e-09
GO:0017144	3.07427162730819e-11	14.8475290697674	1.35536531953016	14	46	drug metabolic process	117.319470699433	3.27055204659017e-09
GO:0046364	1.64879812152533e-10	7.13885613207547	3.41787776229345	20	116	monosaccharide biosynthetic process	26.3555291319857	1.62877700147824e-08
GO:0019319	2.00165664327833e-10	7.55789329685363	3.09376866414493	19	105	hexose biosynthetic process	30.5585487528345	1.84552742510262e-08
GO:0043648	4.20469795327445e-10	6.7161487236404	3.59466454310173	20	122	dicarboxylic acid metabolic process	23.8269282450954	3.5392300603698e-08
GO:0006575	4.35046355938442e-10	5.40504201680672	5.21521003384432	24	177	cellular modified amino acid metabolic process	13.5838360624342	3.5392300603698e-08
GO:0006094	9.23832225611563e-10	7.31438631790745	3.00537527374079	18	102	gluconeogenesis	30.6782006920415	7.09811093344884e-08
GO:1901615	1.98035397777324e-09	3.01115003417635	16.8831375671909	45	573	organic hydroxy compound metabolic process	2.43030618678216	1.44148923750547e-07
