GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	enrichment	padj
GO:0006082	2.30373454438517e-27	3.02839796127196	66.2678803641092	161	1120	organic acid metabolic process	2.33208705357143	5.55430398651265e-24
GO:0044281	1.13374239653061e-26	2.50040749311426	116.205461638492	231	1964	small molecule metabolic process	1.08813790800602	1.36672645901765e-23
GO:0043436	2.82027174784866e-26	3.00970442361171	63.8420026007802	155	1079	oxoacid metabolic process	2.41904382340083	2.26655839468771e-23
GO:0019752	3.40724188813857e-25	2.97940694338739	62.0669700910273	150	1049	carboxylic acid metabolic process	2.47682435766598	2.05371504807552e-22
GO:0032787	1.43123401307722e-21	3.26007281447948	40.3524057217165	108	682	monocarboxylic acid metabolic process	4.21900396453419	6.90141041105834e-19
GO:0044282	1.37590886689805e-20	3.76057653810223	27.5130039011704	84	465	small molecule catabolic process	7.05875823794658	5.52886046348532e-18
GO:0009063	8.02228956963048e-20	8.067283431455	7.2184655396619	40	122	cellular amino acid catabolic process	48.8309594195109	2.76310573605416e-17
GO:0044283	7.83581328305353e-19	2.96664037191721	43.1332899869961	107	729	small molecule biosynthetic process	3.65833648514134	2.36151822818026e-16
GO:0046395	2.58537001969417e-18	4.55374809792762	16.3302990897269	59	276	carboxylic acid catabolic process	14.0730676328502	6.44215106166172e-16
GO:0016054	2.67198302018321e-18	4.40943706591934	17.3361508452536	61	293	organic acid catabolic process	12.9106920290277	6.44215106166172e-16
GO:1901606	9.29185734710188e-18	8.60151036178434	5.85760728218465	34	99	alpha-amino acid catabolic process	63.0323436384042	2.03660618762387e-15
GO:0006629	3.08940189104169e-15	2.15937789826639	87.0357607282185	161	1471	lipid metabolic process	1.35193389902493	6.20712329941793e-13
GO:1901605	1.26554947223364e-14	4.62359530391699	12.1885565669701	45	206	alpha-amino acid metabolic process	19.2678386275804	2.34710752119639e-12
GO:1901615	5.07271758887306e-14	2.80413542926239	34.4947984395319	83	583	organic hydroxy compound metabolic process	4.43706621867727	8.73594436198067e-12
GO:0016053	7.44179879435799e-14	3.56824652487021	19.1111833550065	57	323	organic acid biosynthetic process	9.92715352394828	1.19614512621314e-11
GO:0046394	3.71277634582115e-13	3.50202773856736	18.6970091027308	55	316	carboxylic acid biosynthetic process	10.0079113924051	5.59468985610925e-11
GO:0044255	9.48744860625546e-13	2.18597530709385	64.9661898569571	124	1098	cellular lipid metabolic process	1.86883918766029	1.34554344645188e-10
GO:0006081	1.4557473510678e-11	7.4782412626832	4.31924577373212	23	73	cellular aldehyde metabolic process	78.4218427472321	1.94989270190248e-09
GO:0009074	5.68673375985705e-11	17.3762019230769	1.59752925877763	14	27	aromatic amino acid family catabolic process	348.943758573388	7.20823485032448e-09
GO:0017144	5.97945653282827e-11	10.0486315138395	2.78088426527958	18	47	drug metabolic process	148.05794477139	7.20823485032448e-09
GO:0016101	1.58511435890084e-10	5.30023605179495	6.50845253576073	27	110	diterpenoid metabolic process	40.5446280991736	1.81986224729044e-08
GO:0006575	4.75968662472407e-10	3.89741496598639	10.7685305591678	35	182	cellular modified amino acid metabolic process	19.1990701606086	5.21618384191352e-08
GO:0006631	5.09809096033356e-10	2.78383301334121	23.0162548764629	56	389	fatty acid metabolic process	6.72424845196635	5.34412926320183e-08
GO:0006721	5.75219960123714e-10	4.94085535775637	6.86345903771131	27	116	terpenoid metabolic process	36.4588287752675	5.77856384940948e-08
GO:0001523	7.80724134052973e-10	5.28028468706435	6.03511053315995	25	102	retinoid metabolic process	43.6610918877355	7.52930354880687e-08
GO:0006558	1.14668318055033e-09	32.1444444444444	0.887516254876463	10	15	L-phenylalanine metabolic process	807.555555555556	9.53328671829948e-08
GO:0006559	1.14668318055033e-09	32.1444444444444	0.887516254876463	10	15	L-phenylalanine catabolic process	807.555555555556	9.53328671829948e-08
GO:1902221	1.14668318055033e-09	32.1444444444444	0.887516254876463	10	15	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	807.555555555556	9.53328671829948e-08
GO:1902222	1.14668318055033e-09	32.1444444444444	0.887516254876463	10	15	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	807.555555555556	9.53328671829948e-08
GO:0006066	1.95832255107572e-09	2.64166018107126	24.4954486345904	57	414	alcohol metabolic process	6.0426731078905	1.57383855688119e-07
GO:0009072	3.38831571746645e-09	9.68379888268156	2.3667100130039	15	40	aromatic amino acid family metabolic process	170.34375	2.63523522413278e-07
GO:0019369	5.24435874002619e-09	8.33600346395324	2.78088426527958	16	47	arachidonic acid metabolic process	131.607062019013	3.95129653818848e-07
GO:0001676	7.62324771071071e-09	4.81197224312348	6.21261378413524	24	105	long-chain fatty acid metabolic process	39.5537414965986	5.56959097894652e-07
GO:0003008	7.94509405281436e-09	1.72176767030179	104.549414824447	161	1767	system process	0.936931206560315	5.63400640039277e-07
GO:0006520	8.95002640468563e-09	2.73460107482431	20.3537061118335	49	344	cellular amino acid metabolic process	7.52374594375338	6.16528961762773e-07
GO:0006720	2.27354875742332e-08	4.02866582854531	8.04681404421326	27	136	isoprenoid metabolic process	26.5241133217993	1.52264612615212e-06
GO:0006805	2.36171668294689e-08	5.15533285612026	5.14759427828348	21	87	xenobiotic metabolic process	50.4122076892588	1.53894565475269e-06
GO:0120254	2.49909296749043e-08	4.6641770011274	6.09427828348505	23	103	olefinic compound metabolic process	39.3920256386087	1.58560872226827e-06
GO:0071466	5.49140271350361e-08	4.85939257592801	5.38426527958388	21	91	cellular response to xenobiotic stimulus	46.0777683854607	3.31155667260034e-06
GO:0009065	5.494079921361e-08	10.7290274684484	1.77503250975293	12	30	glutamine family amino acid catabolic process	242.266666666667	3.31155667260034e-06
GO:0034308	6.72476659016022e-08	4.79061772208051	5.44343302990897	21	92	primary alcohol metabolic process	45.0815217391304	3.95449079240885e-06
GO:0072330	1.39768360153194e-07	3.06406569287823	12.721066319896	34	215	monocarboxylic acid biosynthetic process	13.3646295294754	8.02336943641314e-06
GO:0042737	1.59013057707682e-07	11.053531701891	1.59752925877763	11	27	drug catabolic process	274.170096021948	8.91582516588886e-06
GO:0019319	1.99363077159006e-07	4.24297511797512	6.27178153446034	22	106	hexose biosynthetic process	35.5767176931292	1.09241904325082e-05
GO:0009410	2.12752832461643e-07	4.41548215563964	5.79843953185956	21	98	response to xenobiotic stimulus	39.7303206997085	1.13988239792227e-05
GO:0043648	2.24588860986593e-07	3.89255079006772	7.33680104031209	24	124	dicarboxylic acid metabolic process	28.3610822060354	1.17713857356234e-05
GO:0007586	2.62648539384246e-07	3.85374248485797	7.39596879063719	24	125	digestion	27.90912	1.34733112437323e-05
GO:0042445	2.77668946774405e-07	3.08414767289833	11.8927178153446	32	201	hormone metabolic process	14.391722977154	1.38165763678818e-05
GO:0006572	2.80801427634263e-07	96.033185840708	0.414174252275683	6	7	tyrosine catabolic process	2224.89795918367	1.38165763678818e-05
GO:0046364	2.9846962373927e-07	3.9656504113795	6.92262678803641	23	117	monosaccharide biosynthetic process	30.5288918109431	1.43922052567076e-05
GO:0006094	5.14770643592437e-07	4.14480507009795	6.09427828348505	21	103	gluconeogenesis	35.9666321048167	2.43355298372817e-05
GO:0006570	6.45790797668674e-07	18.3249920810896	0.887516254876463	8	15	tyrosine metabolic process	646.044444444444	2.99423387149841e-05
