Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ddx56,487.9491797,0.517836628,0.306808307,1.687818148,0.091446143,0.47310058
hpdl,92.3672262,0.423647272,0.670504465,0.631833633,0.527495594,0.852598922
slc7a2,4710.99021,-1.456204176,0.391363329,-3.720849826,0.000198553,0.024707876
krt222,4.525588929,1.556881867,0.890959132,1.747422313,0.08056411,NA
tsc22d1,769.43815,-0.456433297,0.373371126,-1.222465437,0.221531667,0.643479957
masp2,2361.478491,-0.532130095,0.263815741,-2.017052102,0.043690076,0.353538117
nrp1,724.7793126,-1.994488559,0.655187624,-3.04414871,0.002333398,0.099039767
krtcap2,1810.719169,0.641876623,0.285452763,2.248626418,0.024536274,0.282198721
r3hdm4,263.4323502,0.066969641,0.278296975,0.240640924,0.809833429,0.955414494
atp5d,2950.541583,0.025718032,0.23200129,0.110852969,0.911732941,0.981204566
kdelc1,848.131851,-0.288603039,0.264427215,-1.091427139,0.275084976,0.685459013
LOC107373204,34.69996395,0.171141614,0.417674686,0.40974859,0.681990382,0.913531113
LOC107372770,11.67201294,-0.554037177,0.646451924,-0.857043125,0.391421052,0.774170042
LOC107376118,319.3542092,-0.256863957,0.302382536,-0.849466906,0.395621538,0.775917256
wwc3,18.7279882,0.800205553,0.62702489,1.27619424,0.201886864,0.624602399
rfx5,19.39529836,-0.156963282,0.524406575,-0.299316006,0.764698943,0.941252659
LOC107376996,1.110180143,-0.455761434,1.255788286,-0.36292856,0.716658252,NA
usp49,242.9860754,-0.221395068,0.346286514,-0.639340716,0.522601306,0.851331436
fitm1,1.322893251,-0.10018104,1.152072219,-0.086957257,0.930705488,NA
ntpcr,183.9244245,0.213654054,0.326787306,0.65380157,0.513239655,0.844990937
LOC107394884,325.7589153,-0.552985939,0.359510874,-1.538161928,0.124009027,0.533894076
runx1t1,21.2234831,0.964315647,0.540200988,1.7851053,0.074244238,0.43415303
LOC107388460,5.681149795,-1.539607715,0.896695984,-1.716978488,0.085983103,0.459509887
LOC107389913,1.835567262,0.148900591,1.148664463,0.129629318,0.896859706,NA
LOC107379419,12.98317593,-0.635382168,1.02954479,-0.617148641,0.537136688,0.856734132
syt5,1.377364592,-0.146952162,1.32559349,-0.110857637,0.911729239,NA
tada1,307.5010846,0.034801891,0.275206524,0.126457361,0.899369899,0.978590345
dusp19,13.39244475,-0.359969056,0.567604663,-0.634189745,0.525956999,0.852260991
LOC107381334,24.62538994,-0.545250516,0.771110848,-0.707097452,0.47950592,0.8274361
LOC107395600,3.728830411,0.059374691,0.802996911,0.073941369,0.941057038,NA
LOC107395424,5.979324411,1.729322742,1.054483807,1.639970884,0.101011221,0.493225421
hspb11,8.782735327,1.152218643,0.650681528,1.770787388,0.076596064,0.441927274
LOC107379071,3.693799806,-0.123523699,0.986661774,-0.125193559,0.900370317,NA
LOC107379074,41.1060235,0.404375925,0.354706884,1.14002841,0.254274465,0.669357854
LOC107383725,10.59764507,0.808249295,0.799781513,1.010587618,0.312213844,0.719072435
LOC107376138,247.3966771,-1.244055197,1.054404773,-1.179864914,0.238053946,0.656616728
acp1,983.8698153,0.014073918,0.196723869,0.071541489,0.942966806,0.990601271
LOC107392133,41.8004433,0.480544864,0.558065311,0.861090726,0.389188076,0.773011287
LOC107372652,72.91585755,0.064106466,0.370712098,0.172927903,0.862708099,0.968336924
LOC107379327,1.862424843,-0.20796381,1.143945959,-0.181795135,0.855743503,NA
LOC107396033,21.49044563,0.535623947,0.589943939,0.907923467,0.363918658,0.754573072
LOC107397084,1.353917268,-0.707761053,1.235195522,-0.572995158,0.566647973,NA
ppargc1a,153.3324814,-0.847353562,1.031919408,-0.821143158,0.411564729,0.786925743
gal3st1,268.9851919,-0.551426335,0.335847608,-1.641894483,0.100611873,0.492153256
LOC107377293,34.20273562,0.372775671,0.99900222,0.37314799,0.709038303,0.924970018
kdm1a,508.3680101,0.180686051,0.214917869,0.840721396,0.400504031,0.778910634
LOC107392950,346.5788681,-0.485600624,0.330120267,-1.470980951,0.141296269,0.557899844
LOC107387805,510.6171641,-0.349150077,0.340075818,-1.026683049,0.304569734,0.712194703
LOC107374421,408.6861744,0.506154906,0.432018726,1.17160409,0.241356045,0.659762756
tfam,1116.536419,0.12640959,0.228976321,0.552064028,0.580904487,0.875334194
LOC107373561,1929.927911,-0.534725975,0.285084314,-1.875676595,0.060699702,0.403992423
rpl13a,5122.094697,0.213660612,0.225400304,0.947916256,0.343172088,0.742191537
LOC107392078,69.18080687,-1.227892456,0.599975356,-2.046571486,0.040700177,0.343213816
polr3gl,161.7229903,-0.337041751,0.330349726,-1.020257394,0.307606404,0.715359975
LOC107384680,3.389655038,-0.156443581,0.895938563,-0.174614183,0.861382803,NA
en1,1.54928892,-1.111881443,1.221463241,-0.910286454,0.36267146,NA
bbs4,48.69422101,-0.420551954,0.502328735,-0.837204653,0.402477543,0.780371119
LOC107389425,55.79516557,-0.219147279,0.371245834,-0.590302326,0.55498798,0.864214745
LOC107387293,467.6313528,-0.518636073,0.378419899,-1.370530657,0.170521312,0.593281528
foxk1,803.7469639,-0.262744121,0.323808161,-0.811419083,0.417125044,0.791371676
malrd1,5.007500879,-2.88342879,1.303959405,-2.211287237,0.027015953,NA
smim5,446.0761886,0.085562448,0.459438203,0.186232767,0.852262229,0.965399786
rnf19b,170.0376419,-0.290798651,0.476995162,-0.609646962,0.542095696,0.8597532
stk16,266.5507185,0.3968068,0.192679757,2.059410943,0.039454888,0.33754479
mis18a,23.66721845,-0.076039069,0.848343585,-0.089632397,0.928579339,0.986659242
LOC107394634,1166.434714,-0.439267676,0.250668092,-1.752387676,0.079707169,0.4470786
LOC107380370,36.22259934,-0.998468737,0.57512172,-1.736099858,0.08254618,0.451978929
LOC107374830,2.327046269,1.23298384,1.228995382,1.003245299,0.315742521,NA
LOC107382350,47.2469241,0.826907252,0.730400965,1.132127819,0.257580701,0.671447477
LOC107396318,14.97588529,0.432866164,0.898911627,0.481544738,0.630129391,0.89415744
LOC107373122,369.3017374,0.199919737,0.215909425,0.925942615,0.354475803,0.748651183
setd6,295.4819782,0.712952157,0.373807422,1.907271272,0.056485468,0.393314933
LOC107374467,254.3491549,-0.587743563,0.435781917,-1.348710307,0.177430034,0.598754975
mis18bp1,17.91690987,-0.117854516,0.884789523,-0.133200623,0.894034718,0.978185927
dapl1,1478.66278,-0.710530717,0.418970983,-1.695894812,0.089905802,0.468674296
fam171a1,205.2814506,-0.070683526,0.266581996,-0.265147412,0.790895904,0.949273152
LOC107376589,66.33224679,-0.198361094,0.423595127,-0.468279924,0.639584423,0.897528802
fam45a,179.5816392,0.145663494,0.329907945,0.441527694,0.658831017,0.905230436
rrp1b,659.6848396,0.447070121,0.481659385,0.928187294,0.353310424,0.747967139
trpt1,205.2640855,0.388501184,0.330209457,1.17652955,0.239383331,0.658019357
LOC107397004,1.159936942,-0.146460877,1.29774159,-0.112858275,0.910142917,NA
LOC107373117,1.440819086,0.860205006,1.206545952,0.7129484,0.475877688,NA
LOC107375214,1.638805559,-1.501525434,1.15786631,-1.296803802,0.194698702,NA
slc12a8,71.71693942,0.317463082,0.409776266,0.774722962,0.43850338,0.802099835
rnf216,130.4545723,0.328285955,0.300565364,1.09222816,0.274732828,0.685309253
LOC107381314,4.526074775,-1.276564702,0.897785858,-1.42190333,0.155054316,NA
best2,1.111516999,-0.458343747,1.255729326,-0.365002025,0.715109894,NA
pelo,4974.358402,0.191486811,0.248996923,0.769032842,0.441873814,0.80354692
LOC107388208,8.070671158,-0.902976819,0.944588527,-0.955947265,0.339098878,0.740106056
borcs6,292.0251302,0.097967971,0.230671614,0.424707527,0.671049896,0.909576914
LOC107373847,296.0339309,-0.106500047,0.225496452,-0.472291455,0.636718769,0.896461215
prr7,1.305058563,-0.146377756,1.293043381,-0.113204057,0.90986878,NA
LOC107383494,130.6731761,-0.797178795,0.501452551,-1.589739236,0.111893596,0.514835911
zc3h18,246.2170936,0.490093917,0.256943134,1.907402271,0.056468516,0.393314933
chtf8,180.8804103,0.996828303,0.564139821,1.766988015,0.077230235,0.443446516
plppr5,2.031202506,1.652032816,1.080291818,1.52924681,0.12620327,NA
myo1d,17.10047502,-0.169105274,0.57845821,-0.292337927,0.770028263,0.942725571
heg1,156.1002463,0.0709459,0.266631976,0.26608174,0.790176258,0.949138594
dnajc13,303.4199167,0.608096531,0.301026935,2.020073492,0.043375765,0.353538117
LOC107388958,220.3746258,-1.290245337,0.366762993,-3.517926732,0.000434932,0.039989111
sftpb,2146.143949,-1.618632569,0.75146913,-2.153957501,0.031243505,0.310924721
LOC107393833,4.956082406,-0.815131454,0.836218912,-0.974782371,0.329668224,NA
plxnc1,53.00670365,-0.653519852,1.18753663,-0.550315532,0.582102973,0.876458519
cdca8,101.434204,-0.270524364,0.587293046,-0.460629265,0.645064612,0.899900066
LOC107377448,5.618035142,0.606005651,0.828641887,0.731323941,0.464581311,0.818751513
ikzf4,87.06603592,-0.114687833,0.310920025,-0.368866023,0.71222759,0.925057609
LOC107380237,1.276250348,0.383512149,1.22729228,0.312486402,0.754670895,NA
nr2f1,322.161585,-0.027741808,0.286784797,-0.096733885,0.92293773,0.985248208
LOC107383803,15.06898547,-1.657901312,1.007657905,-1.645301748,0.0999076,0.491047945
chrna1,22.21842025,-0.396398708,0.470051097,-0.843309823,0.39905519,0.777658151
tsku,19247.16526,0.01521446,0.225784267,0.067384942,0.946275256,0.990809854
LOC107384230,4.647808469,1.529829056,0.961149724,1.591665709,0.111459837,NA
LOC107394910,229.5766527,0.453428619,0.37504199,1.209007605,0.226659924,0.648078647
LOC107390154,6317.296039,0.863782141,0.378350746,2.283019523,0.022429218,0.27310774
LOC107383764,4741.731132,0.015529818,0.26933972,0.057658849,0.954020373,0.992472812
LOC107391096,28.94534227,-0.836358136,0.457068112,-1.82983261,0.067274973,0.418803738
jam3,38.76622783,-0.729571543,0.619391696,-1.177883958,0.238842871,0.657268052
LOC107376900,2.435304918,-1.680937724,1.083200154,-1.551825597,0.12070396,NA
shf,189.2024385,0.243659339,0.356550528,0.68337955,0.494367039,0.835662977
LOC107388857,85.23415101,-0.269234229,0.41485034,-0.648991222,0.51634405,0.847619234
LOC107389969,1.557612463,-0.521743935,1.091615569,-0.477955747,0.632681703,NA
LOC107392810,545.8508405,0.096251081,0.236746721,0.406557187,0.684333247,0.914262434
LOC107385351,49.82481147,-0.939589665,0.558644827,-1.681908824,0.092586521,0.475884962
pcdh17,42.04582237,0.448075972,0.604349678,0.741418402,0.45843979,0.815588865
LOC107392189,1.416064198,-0.707592627,1.239304273,-0.570959564,0.568027053,NA
tnip2,417.7679512,0.873987592,1.259942981,0.693672337,0.487887718,0.831172842
chfr,1276.002328,-0.0601115,0.39629105,-0.151685231,0.879435206,0.973197351
kcnj10,29.63460738,0.310288077,0.469806975,0.660458642,0.508959551,0.843000568
LOC107379852,3.611077189,0.009059081,0.918121386,0.009866976,0.99212742,NA
cept1,617.2158283,-0.003130661,0.293559337,-0.010664492,0.991491128,0.998765022
LOC107386695,4.227519399,2.002122916,1.154891339,1.73360285,0.082988574,NA
LOC107388619,6.818916301,0.702024197,0.883116645,0.794939378,0.426648767,0.79679009
LOC107394473,39.81703671,0.220184965,0.337681015,0.652050175,0.514368805,0.845895174
bloc1s3,649.3952098,-0.665315374,0.310620535,-2.141891151,0.032202242,0.315276024
asic4,1.787405471,1.195770628,1.172781877,1.019601898,0.307917304,NA
chmp5,119.1895743,0.707839749,0.393902073,1.796994218,0.072336538,0.428654676
b4galt2,15.59135121,-0.726575729,0.594788822,-1.221569239,0.221870567,0.643810373
LOC107377728,366.1327777,-0.394888613,0.203096601,-1.94433886,0.051854601,0.37777286
LOC107374971,12.98454936,-0.451209654,0.828363249,-0.544700232,0.585959705,0.878620174
LOC107384853,246.9542979,-0.362124073,0.28168634,-1.285557807,0.19859743,0.621812575
LOC107381177,1643.649218,0.380175339,0.245232795,1.550263043,0.121078394,0.53023986
