Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ddx56,487.9491797,0.191726692,0.306997681,0.624521629,0.53228507,0.858824283
hpdl,92.3672262,0.472643426,0.669921514,0.705520596,0.480486319,0.832436093
slc7a2,4710.99021,1.453556715,0.39081095,3.719334671,0.000199748,0.00592297
krt222,4.525588929,1.322130767,0.894413446,1.478209851,0.139351618,0.515432392
tsc22d1,769.43815,0.262387407,0.372794172,0.703839886,0.481532492,0.833597007
masp2,2361.478491,0.847905682,0.263288824,3.220439325,0.001279943,0.026359984
nrp1,724.7793126,-0.983202939,0.654437177,-1.50236413,0.133003095,0.502966705
krtcap2,1810.719169,-0.665231771,0.285858745,-2.32713458,0.019958104,0.176595355
r3hdm4,263.4323502,-0.156765172,0.278475193,-0.562941245,0.573474893,0.876636299
atp5d,2950.541583,0.223876403,0.231904681,0.965381129,0.33435395,0.740500822
kdelc1,848.131851,0.658406001,0.263519932,2.498505503,0.012471821,0.13132442
LOC107373204,34.69996395,-0.570062633,0.425461334,-1.339869425,0.1802878,0.579700702
LOC107372770,11.67201294,-0.546772031,0.642002335,-0.851666734,0.394399089,0.782986489
LOC107376118,319.3542092,0.115880804,0.301342961,0.384547904,0.700572398,0.921964506
wwc3,18.7279882,-0.138956079,0.641372775,-0.216654158,0.828477876,0.959666168
rfx5,19.39529836,0.269354039,0.511726187,0.526363603,0.598635599,0.885543209
LOC107376996,1.110180143,-0.588531989,1.255788318,-0.46865541,0.639315964,NA
usp49,242.9860754,-0.021233323,0.345506713,-0.061455603,0.950996371,0.98857536
fitm1,1.322893251,-0.842754755,1.227095559,-0.686788204,0.492216204,NA
ntpcr,183.9244245,-0.332302586,0.327980172,-1.01317889,0.310974722,0.723824182
LOC107394884,325.7589153,0.199052236,0.358020739,0.555979625,0.578224784,0.878358765
runx1t1,21.2234831,-0.59441037,0.562662601,-1.056424168,0.290774469,0.703988652
LOC107388460,5.681149795,-1.848011363,0.90569076,-2.040444095,0.041306114,0.273911746
LOC107389913,1.835567262,0.407932053,1.112442139,0.366699569,0.713843128,NA
LOC107379419,12.98317593,-2.228654482,1.058082974,-2.106313528,0.035177127,0.247987121
syt5,1.377364592,-0.280711087,1.325593475,-0.211762574,0.832292268,NA
tada1,307.5010846,-0.115423243,0.275203986,-0.419409779,0.674916679,0.911818861
dusp19,13.39244475,0.310828383,0.546897522,0.568348495,0.569798356,0.875097801
LOC107381334,24.62538994,-0.481002167,0.768915855,-0.625558914,0.531604294,0.858706536
LOC107395600,3.728830411,0.003537318,0.798419494,0.004430401,0.996465063,0.998943832
LOC107395424,5.979324411,-2.363925293,1.264281524,-1.869777615,0.061514706,0.341855223
hspb11,8.782735327,-1.155830992,0.733602118,-1.57555569,0.115128235,0.470549147
LOC107379071,3.693799806,0.828675458,0.930821337,0.890262637,0.373324879,0.769870436
LOC107379074,41.1060235,-0.035190193,0.3582756,-0.098221014,0.921756796,0.984092868
LOC107383725,10.59764507,0.418975304,0.80440784,0.520849354,0.602471719,0.886533081
LOC107376138,247.3966771,-0.123878242,1.053413048,-0.117597026,0.906386962,0.979065026
acp1,983.8698153,0.353712886,0.196265056,1.80222039,0.071510738,0.370119208
LOC107392133,41.8004433,-0.047332363,0.560991818,-0.084372643,0.932760157,0.985444656
LOC107372652,72.91585755,0.326362983,0.368169236,0.886448271,0.375376017,0.770323231
LOC107379327,1.862424843,0.362176828,1.084574334,0.333934537,0.738428958,NA
LOC107396033,21.49044563,-1.101586831,0.616156685,-1.78783556,0.073802542,0.377028716
LOC107397084,1.353917268,-0.84072959,1.235195555,-0.680644929,0.496096191,NA
ppargc1a,153.3324814,0.631465308,1.028099705,0.614206293,0.539079016,0.860464802
gal3st1,268.9851919,0.169112353,0.33348008,0.507113807,0.612074968,0.889154565
LOC107377293,34.20273562,0.028805127,0.999872869,0.02880879,0.977017091,0.99393559
kdm1a,508.3680101,0.225860531,0.214596118,1.052491225,0.292574234,0.705321109
