bodyparts_coords,fishhead_x,fishhead_y,fishhead_likelihood,fishtail_x,fishtail_y,fishtail_likelihood,redlight_x,redlight_y,redlight_likelihood,fooddrop_x,fooddrop_y,fooddrop_likelihood,fishnum,recordingnum
0,419.55841064453125,270.8782958984375,1.0,326.56292724609375,184.91726684570312,0.9999886155128479,645.3141479492188,480.99725341796875,0.016623079776763916,411.8317565917969,261.05340576171875,0.00015524029731750488,1,028
1,424.2444152832031,274.1424865722656,1.0,338.28924560546875,192.30551147460938,1.0,646.5381469726562,464.50579833984375,0.013631761074066162,408.4452819824219,266.84185791015625,5.8323144912719727e-5,1,028
2,423.6689453125,274.8894348144531,1.0,341.7395935058594,192.62815856933594,1.0,645.3414306640625,480.7588806152344,0.019737809896469116,408.04425048828125,266.5630798339844,5.334615707397461e-5,1,028
3,424.17315673828125,274.7945861816406,1.0,343.7357177734375,190.90927124023438,1.0,645.3399658203125,481.3255310058594,0.012673556804656982,409.01824951171875,268.01678466796875,8.156895637512207e-5,1,028
4,424.35552978515625,274.64117431640625,1.0,347.0655517578125,191.95657348632812,1.0,645.4583129882812,480.732421875,0.019618242979049683,346.95703125,193.97650146484375,8.732080459594727e-5,1,028
5,425.6681823730469,274.39111328125,1.0,346.424072265625,191.22915649414062,0.9999903440475464,645.3980102539062,480.830322265625,0.015737175941467285,420.6268005371094,260.97064208984375,0.00011330842971801758,1,028
6,425.15625,274.8182067871094,1.0,347.1251220703125,192.4528045654297,0.9999464750289917,529.8549194335938,208.0921630859375,1.0,526.6885375976562,208.00320434570312,0.00042742490768432617,1,028
7,425.8965759277344,275.3501281738281,1.0,349.03521728515625,191.49916076660156,0.9999999403953552,529.4046630859375,207.208251953125,1.0,526.0734252929688,206.59132385253906,0.00030368566513061523,1,028
8,430.2444152832031,275.45233154296875,1.0,352.2478332519531,192.75860595703125,1.0,530.35791015625,206.5086212158203,1.0,528.539794921875,207.3829345703125,0.0004443824291229248,1,028
9,434.17877197265625,272.5563049316406,1.0,354.0610046386719,194.89443969726562,0.9999998807907104,530.0166625976562,206.5458221435547,1.0,526.3036499023438,205.81825256347656,0.0003044605255126953,1,028
10,446.3337097167969,267.8861999511719,1.0,355.27777099609375,194.08828735351562,1.0,530.3013305664062,206.5505828857422,1.0,526.6694946289062,206.7698516845703,0.0003387629985809326,1,028
11,456.4421691894531,252.60592651367188,1.0,362.7265930175781,187.2862548828125,0.38508227467536926,529.2361450195312,207.0293426513672,1.0,525.4224853515625,206.70286560058594,0.00041216611862182617,1,028
12,458.57989501953125,254.9949493408203,1.0,367.6517028808594,186.63880920410156,1.0,529.2484130859375,206.7365264892578,1.0,527.194091796875,206.0101318359375,0.00041797757148742676,1,028
13,451.08282470703125,251.52366638183594,1.0,644.1022338867188,479.5015563964844,0.00214308500289917,530.2604370117188,206.70001220703125,1.0,525.9925537109375,206.72817993164062,0.0002389848232269287,1,028
14,453.4696350097656,244.03045654296875,0.2449854016304016,643.8801879882812,479.8714294433594,0.003538668155670166,530.325927734375,206.0185546875,1.0,528.5280151367188,207.06236267089844,0.0002760887145996094,1,028
15,451.5337829589844,245.0952911376953,0.5844680070877075,392.1612854003906,208.81971740722656,1.0,529.7965087890625,206.6141815185547,1.0,528.6749877929688,206.94207763671875,0.0003313422203063965,1,028
16,447.7682800292969,241.4432373046875,0.9999673366546631,385.06329345703125,215.29861450195312,1.0,529.91796875,206.53582763671875,1.0,526.2218017578125,206.35165405273438,0.0002975761890411377,1,028
17,450.5052185058594,244.38238525390625,0.9999830722808838,381.677490234375,224.80224609375,1.0,530.177001953125,206.25433349609375,1.0,528.8619995117188,206.86122131347656,0.0002903938293457031,1,028
18,450.4020690917969,242.7522430419922,0.28724414110183716,371.66424560546875,230.9777374267578,1.0,529.126220703125,206.3599853515625,1.0,528.1333618164062,207.38893127441406,0.00022593140602111816,1,028
19,359.0614013671875,229.68548583984375,0.0012285113334655762,364.08740234375,228.42250061035156,0.999894380569458,529.6548461914062,206.41123962402344,1.0,528.3389282226562,207.17721557617188,0.00032132863998413086,1,028
20,447.46673583984375,242.79258728027344,0.0005373358726501465,376.135009765625,223.7027130126953,0.9999996423721313,530.1683959960938,206.2369384765625,1.0,529.1845703125,207.0364532470703,0.0003184676170349121,1,028
21,357.9398498535156,224.0990753173828,0.02223384380340576,359.4200134277344,223.00730895996094,0.9990352392196655,530.5050659179688,205.68588256835938,1.0,355.71075439453125,216.8935089111328,0.0005355775356292725,1,028
22,358.4593811035156,228.96810913085938,0.00020563602447509766,363.0088806152344,228.15126037597656,1.0,530.40478515625,206.6622314453125,1.0,528.8222045898438,207.00718688964844,0.0003312826156616211,1,028
23,527.6336669921875,210.56259155273438,0.00013679265975952148,362.6192321777344,228.2740020751953,0.9999995231628418,530.2918090820312,206.8347625732422,1.0,528.4880981445312,207.0413055419922,0.00029590725898742676,1,028
24,439.10772705078125,243.3743438720703,0.07533541321754456,364.72430419921875,223.3417510986328,1.0,529.5570678710938,207.05494689941406,1.0,528.607666015625,207.6287841796875,0.00047338008880615234,1,028
25,438.8367614746094,243.04351806640625,0.867882251739502,360.7080993652344,221.01025390625,1.0,530.0889892578125,207.0779571533203,1.0,355.95550537109375,222.35147094726562,0.00034561753273010254,1,028
26,436.6578674316406,245.21881103515625,0.9999998807907104,359.6785888671875,220.7652587890625,0.9999947547912598,530.3173828125,206.8280792236328,1.0,528.9664306640625,207.3910675048828,0.0003649890422821045,1,028
27,436.2176513671875,247.69131469726562,0.9999178647994995,358.17523193359375,214.10618591308594,1.0,530.221435546875,206.6539306640625,1.0,526.4637451171875,204.2938995361328,0.0003139972686767578,1,028
28,435.9705505371094,247.44989013671875,0.8733787536621094,355.1174621582031,213.1752471923828,1.0,529.5159912109375,206.701171875,1.0,526.4172973632812,206.24827575683594,0.0003822445869445801,1,028
29,434.8431396484375,251.5736541748047,0.9999967813491821,352.1960754394531,211.57615661621094,1.0,529.3634643554688,207.46749877929688,1.0,528.4142456054688,207.71585083007812,0.0004908144474029541,1,028
30,436.5821838378906,248.18849182128906,0.0024605393409729004,354.5225524902344,209.8491973876953,1.0,529.40771484375,206.92898559570312,1.0,525.4647827148438,206.5685577392578,0.00039121508598327637,1,028
31,436.6235656738281,251.87551879882812,0.000517725944519043,350.96209716796875,206.09036254882812,1.0,529.538818359375,206.51959228515625,1.0,525.9972534179688,206.554443359375,0.00028327107429504395,1,028
32,433.0777282714844,252.82421875,0.9999999403953552,347.9595642089844,209.0842742919922,0.9999998807907104,529.810302734375,206.96665954589844,1.0,527.9989013671875,207.6585235595703,0.00038504600524902344,1,028
33,432.8584289550781,253.05364990234375,0.9999998807907104,348.2900390625,215.19139099121094,0.9999953508377075,530.2716674804688,207.07777404785156,1.0,526.753662109375,206.89210510253906,0.00028198957443237305,1,028
34,433.4096374511719,253.3564910888672,1.0,352.9654235839844,214.1067657470703,0.9999998807907104,530.1679077148438,206.89877319335938,1.0,353.4566345214844,214.79849243164062,0.0007902681827545166,1,028
35,434.3182678222656,254.9498291015625,0.9999989867210388,352.0943908691406,215.38418579101562,0.9999998807907104,529.0604248046875,207.0469512939453,1.0,525.8004150390625,206.4165496826172,0.00028383731842041016,1,028
36,431.78839111328125,257.53814697265625,0.9999866485595703,349.0113830566406,218.4049835205078,0.5990557074546814,529.6629638671875,207.4135284423828,1.0,528.534912109375,208.01055908203125,0.0003509521484375,1,028
37,431.22967529296875,259.58624267578125,0.9999998807907104,352.83343505859375,219.501953125,1.0,529.7144775390625,206.76881408691406,1.0,528.3029174804688,207.41513061523438,0.00039130449295043945,1,028
38,437.3294372558594,261.8764343261719,0.0001653730869293213,355.7976379394531,219.02456665039062,1.0,530.7528686523438,206.7353973388672,1.0,528.9038696289062,207.4373779296875,0.00025773048400878906,1,028
39,354.5302429199219,212.69862365722656,0.00010567903518676758,352.0572509765625,215.24273681640625,1.0,530.0728759765625,207.06500244140625,1.0,528.207275390625,207.51617431640625,0.0003477931022644043,1,028
40,429.7132568359375,267.67376708984375,1.0,351.1624755859375,225.0570068359375,1.0,530.471923828125,207.1830596923828,1.0,528.7158813476562,207.5406036376953,0.0003158152103424072,1,028
41,427.8314208984375,273.1512451171875,0.9997978806495667,356.1122131347656,225.0611572265625,1.0,530.4212646484375,206.66961669921875,1.0,526.3165893554688,203.80545043945312,0.00024318695068359375,1,028
42,432.2263488769531,276.2584228515625,0.49603399634361267,355.02716064453125,231.24832153320312,1.0,530.4384765625,206.25787353515625,1.0,528.4827270507812,207.59158325195312,0.0003128349781036377,1,028
43,430.7210998535156,277.5224304199219,1.0,351.06939697265625,236.3569793701172,1.0,530.4232788085938,206.5523681640625,1.0,525.718017578125,206.173828125,0.00022420287132263184,1,028
44,531.1919555664062,211.3429412841797,9.742379188537598e-5,351.4130859375,243.81822204589844,1.0,530.2786254882812,206.6033172607422,1.0,350.6070556640625,245.3314666748047,0.00044101476669311523,1,028
45,481.85711669921875,258.7132263183594,0.0006231367588043213,352.6134338378906,242.15499877929688,1.0,530.2607421875,207.5882568359375,1.0,528.3699340820312,207.88160705566406,0.0002599954605102539,1,028
46,349.9295349121094,241.97610473632812,0.28018587827682495,350.4745788574219,242.4132843017578,0.9999922513961792,530.7318115234375,206.32493591308594,1.0,529.1485595703125,207.28282165527344,0.0005279481410980225,1,028
47,431.0535888671875,289.6582946777344,0.999889612197876,351.11376953125,252.88986206054688,1.0,530.6188354492188,206.69778442382812,1.0,529.180908203125,207.40484619140625,0.0002340376377105713,1,028
48,433.70977783203125,289.2021789550781,0.9474989771842957,354.9854431152344,252.71636962890625,1.0,530.2288818359375,206.44158935546875,1.0,354.89886474609375,254.63888549804688,0.0011563003063201904,1,028
49,430.4499206542969,292.698486328125,0.9999186992645264,352.08880615234375,253.6970977783203,1.0,530.136962890625,206.669189453125,1.0,525.779296875,206.51211547851562,0.0002720355987548828,1,028
50,483.1711120605469,274.4079895019531,0.9999338388442993,350.65167236328125,261.31219482421875,0.9089715480804443,530.5404052734375,206.56788635253906,1.0,525.9845581054688,206.37376403808594,0.0001895427703857422,1,028
51,431.80645751953125,294.85491943359375,1.0,347.31927490234375,277.1694641113281,1.0,530.2282104492188,206.93238830566406,1.0,528.5364990234375,207.91873168945312,0.00027701258659362793,1,028
52,430.748291015625,295.3090515136719,0.9999998807907104,348.6754150390625,274.57623291015625,0.9999998807907104,530.3601684570312,207.01345825195312,1.0,351.4883728027344,277.36016845703125,0.0006312727928161621,1,028
53,480.742431640625,285.6342468261719,0.9999980926513672,644.0104370117188,479.6210632324219,0.002636551856994629,530.282958984375,206.1968536376953,1.0,528.497802734375,207.15016174316406,0.0002288818359375,1,028
54,433.96600341796875,297.8932189941406,0.9999926090240479,351.78875732421875,291.0591125488281,0.9999092221260071,530.4227294921875,206.6474151611328,1.0,528.818115234375,207.61985778808594,0.0002861618995666504,1,028
55,437.5880432128906,296.05572509765625,0.9983077645301819,348.6048583984375,290.4554748535156,0.36456388235092163,530.2445068359375,205.60108947753906,1.0,528.7735595703125,206.5151824951172,0.00040838122367858887,1,028
56,433.7361755371094,296.88177490234375,1.0,643.8404541015625,479.53094482421875,0.0036766231060028076,530.17529296875,206.57748413085938,1.0,528.5316772460938,207.67034912109375,0.0003987252712249756,1,028
57,431.7684631347656,297.1248779296875,1.0,358.86962890625,305.92462158203125,0.9995492696762085,529.7274780273438,206.1085968017578,1.0,525.5267333984375,202.49549865722656,0.00023412704467773438,1,028
58,430.2752990722656,295.1730651855469,1.0,351.7122497558594,314.5653991699219,1.0,529.4866943359375,206.24661254882812,1.0,525.4204711914062,202.93701171875,0.00026851892471313477,1,028
59,434.019775390625,292.4863586425781,1.0,359.1816711425781,310.9096374511719,0.06353634595870972,530.1709594726562,206.3904571533203,1.0,528.4845581054688,207.26531982421875,0.00031891465187072754,1,028
