"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.957631077037858,"29974"
"A2M","LOC107395751",-1.57722341404866,"2"
"A2ML1","LOC107373536",0.0227233787655659,"144568"
"A2ML1","LOC107373335",-1.60148742446229,"144568"
"A2ML1","LOC107380767",-0.00482568046416103,"144568"
"A3GALT2","LOC107372345",-0.176983069472801,"127550"
"A3GALT2","LOC107385260",0.0467336539659953,"127550"
"AAAS","aaas",0.155988223811868,"8086"
"AACS","aacs",-3.36673253865117,"65985"
"AADAC","LOC107380045",1.11386523978314,"13"
"AADAT","aadat",-0.0182581258579343,"51166"
"AAGAB","aagab",0.0045668874782608,"79719"
"AAK1","LOC107373159",0.00579954556226808,"22848"
"AAMDC","aamdc",-0.330407626151367,"28971"
"AAMP","aamp",1.92763063967514,"14"
"AANAT","LOC107382246",0.0495560618281383,"15"
"AANAT","LOC107378383",-0.243379500535642,"15"
"AANAT","LOC107376253",-0.243379500535642,"15"
"AAR2","aar2",-0.0114989554143686,"25980"
"AARS2","aars2",0.0254921520206136,"57505"
"AARSD1","aarsd1",0.104939272869636,"80755"
"AASDH","aasdh",0.0209334545066653,"132949"
"AASDHPPT","aasdhppt",0.497264879848938,"60496"
"AASS","aass",0.0340352990315994,"10157"
"AATF","aatf",0.122047899790363,"26574"
"AATK","LOC107378275",-3.1009952908872,"9625"
"AATK","aatk",0.587255597264757,"9625"
"ABAT","abat",4.358667773802,"18"
"ABCA1","LOC107381037",0.0754205185300302,"19"
"ABCA1","LOC107392625",0.959404965229322,"19"
"ABCA1","LOC107377411",-0.230130372074323,"19"
"ABCA1","LOC107372735",0.396856801194173,"19"
"ABCA1","LOC107391047",-0.858154052652647,"19"
"ABCA12","abca12",-5.11908430226718,"26154"
"ABCA12","LOC107376062",0.217836941132925,"26154"
"ABCA3","abca3",0.00715071123640492,"21"
"ABCA4","LOC107382716",-0.384095839188188,"24"
"ABCA4","LOC107383559",3.46311194816868,"24"
"ABCA5","abca5",0.206965011445627,"23461"
"ABCB1","abcb1",-1.87665288542161,"5243"
"ABCB10","abcb10",0.00403544075821818,"23456"
"ABCB11","abcb11",-6.37105079196696,"8647"
"ABCB11","LOC107380987",-0.05132930875548,"8647"
"ABCB6","abcb6",0.454098909689844,"10058"
"ABCB7","abcb7",-0.0311220976091996,"22"
"ABCB8","LOC107383862",0.561164542299906,"11194"
"ABCB9","abcb9",0.0320681653349971,"23457"
"ABCC1","LOC107373251",-0.0389273495392187,"4363"
"ABCC1","LOC107392837",-0.322259257975775,"4363"
"ABCC1","LOC107391801",2.89482729221829,"4363"
"ABCC10","abcc10",3.07307006249366,"89845"
"ABCC12","LOC107381982",1.89890873410158,"94160"
"ABCC2","abcc2",-0.218249834502157,"1244"
"ABCC3","LOC107388296",-0.00309093136051042,"8714"
"ABCC4","abcc4",1.58962616674656,"10257"
"ABCC5","abcc5",-0.480039732940333,"10057"
"ABCC8","abcc8",1.97631038343034,"6833"
"ABCC9","LOC107387088",-0.0546109107604255,"10060"
"ABCD1","LOC107391455",1.08263210264934,"215"
"ABCD2","abcd2",-4.51465944337109e-05,"225"
"ABCD3","LOC107395207",0.474576468211394,"5825"
"ABCD3","abcd3",0.4829443194112,"5825"
"ABCD4","abcd4",3.65115240351989e-05,"5826"
"ABCE1","abce1",0.980208361930184,"6059"
"ABCF1","abcf1",0.465999710197743,"23"
"ABCF2","abcf2",0.125520403150269,"10061"
"ABCF3","abcf3",0.743901298703698,"55324"
"ABCG1","LOC107395544",-0.163843915893792,"9619"
"ABCG2","LOC107376824",-1.40553182928341,"9429"
"ABCG2","LOC107388909",-0.0255131074656818,"9429"
"ABCG4","abcg4",0.0489185697356237,"64137"
"ABCG5","abcg5",-3.59575467590718,"64240"
"ABCG8","abcg8",-4.72170579782216,"64241"
"ABHD10","abhd10",-0.00340982940493269,"55347"
"ABHD11","abhd11",-1.8600368281194,"83451"
"ABHD12","LOC107375545",-0.191848045530276,"26090"
"ABHD12","LOC107376141",0.0093934142557016,"26090"
"ABHD12","abhd12b",0.0056319525531638,"26090"
"ABHD13","abhd13",-0.0144435108486951,"84945"
"ABHD14A","abhd14a",-0.503510944129166,"25864"
"ABHD14B","abhd14b",-0.0131275128517569,"84836"
"ABHD15","LOC107386856",0.268325311278353,"116236"
"ABHD15","LOC107380403",-0.0505673220346138,"116236"
"ABHD16A","abhd16a",0.249333100451158,"7920"
"ABHD17B","abhd17b",0.00321979574088738,"51104"
"ABHD17C","LOC107384127",0.0907524432201574,"58489"
"ABHD17C","LOC107393262",-0.00209204926090241,"58489"
"ABHD18","abhd18",0.20070850030977,"80167"
"ABHD2","LOC107376844",0.0261638765093138,"11057"
"ABHD2","abhd2",-0.182433302470721,"11057"
"ABHD3","LOC107377588",0.492565833404498,"171586"
"ABHD3","abhd3",0.209667271932233,"171586"
