"human","ncbi","mlog10QvalxFC","ENTREZID"
"A1CF","a1cf",-0.0848117546483846,"29974"
"A2M","LOC107395751",-1.73308629355527,"2"
"A2ML1","LOC107373536",0.145531169393107,"144568"
"A2ML1","LOC107373335",-1.09855757382949,"144568"
"A2ML1","LOC107380767",0.00127392094342406,"144568"
"A3GALT2","LOC107372345",-0.00306949998704947,"127550"
"A3GALT2","LOC107385260",-0.00307885415346884,"127550"
"AAAS","aaas",-0.160061825147547,"8086"
"AACS","aacs",-0.428366461264377,"65985"
"AADAC","LOC107380045",2.4631945017398,"13"
"AADAT","aadat",-0.0192892831584313,"51166"
"AAGAB","aagab",-0.0424251779233255,"79719"
"AAK1","LOC107373159",-0.0594216819779322,"22848"
"AAMDC","aamdc",-0.0765133374981215,"28971"
"AAMP","aamp",0.0458941958023716,"14"
"AANAT","LOC107382246",1.30638104163195,"15"
"AANAT","LOC107378383",-0.00302479779613113,"15"
"AANAT","LOC107376253",-0.00302479779613113,"15"
"AAR2","aar2",-0.0273156378075395,"25980"
"AARS2","aars2",-0.000562588970789045,"57505"
"AARSD1","aarsd1",0.108769453963672,"80755"
"AASDH","aasdh",-0.0602014398570331,"132949"
"AASDHPPT","aasdhppt",-0.289422952121462,"60496"
"AASS","aass",-0.000724852753090142,"10157"
"AATF","aatf",0.113284844383622,"26574"
"AATK","LOC107378275",-0.0319862438918736,"9625"
"AATK","aatk",-0.603734582172619,"9625"
"ABAT","abat",-0.0697273110588035,"18"
"ABCA1","LOC107381037",0.0137022369499853,"19"
"ABCA1","LOC107392625",0.272138148434705,"19"
"ABCA1","LOC107377411",-0.000923314513094494,"19"
"ABCA1","LOC107372735",-0.370340894572566,"19"
"ABCA1","LOC107391047",-0.458189885979771,"19"
"ABCA12","abca12",0.324621469047625,"26154"
"ABCA12","LOC107376062",-0.102405888863823,"26154"
"ABCA3","abca3",0.101547584166439,"21"
"ABCA4","LOC107382716",1.56088228129151,"24"
"ABCA4","LOC107383559",1.37189829280745,"24"
"ABCA5","abca5",0.0357605457007908,"23461"
"ABCB1","abcb1",0.0555865026821821,"5243"
"ABCB10","abcb10",0.17742339200065,"23456"
"ABCB11","abcb11",0.0216451971914178,"8647"
"ABCB11","LOC107380987",0.413565364611568,"8647"
"ABCB6","abcb6",-0.011838855786916,"10058"
